"T",,"date"
81.25,623.04,"2022,05,30,11:14:08"
80.75,624.04,"2022,05,30,11:14:09"
81,625.04,"2022,05,30,11:14:10"
81.5,626.05,"2022,05,30,11:14:11"
81,627.05,"2022,05,30,11:14:12"
81.25,628.05,"2022,05,30,11:14:13"
81.5,629.05,"2022,05,30,11:14:14"
82,630.05,"2022,05,30,11:14:15"
81.5,631.05,"2022,05,30,11:14:16"
81.5,632.05,"2022,05,30,11:14:17"
81.5,633.06,"2022,05,30,11:14:18"
82.5,634.06,"2022,05,30,11:14:19"
82.75,635.06,"2022,05,30,11:14:20"
82,636.06,"2022,05,30,11:14:21"
83,637.06,"2022,05,30,11:14:22"
82.25,638.07,"2022,05,30,11:14:23"
83.25,639.07,"2022,05,30,11:14:24"
83.25,640.07,"2022,05,30,11:14:25"
83,641.07,"2022,05,30,11:14:26"
83.75,642.07,"2022,05,30,11:14:27"
83.25,643.07,"2022,05,30,11:14:28"
83.25,644.07,"2022,05,30,11:14:29"
84,645.08,"2022,05,30,11:14:30"
84.25,646.08,"2022,05,30,11:14:31"
84.25,647.08,"2022,05,30,11:14:32"
83.75,648.08,"2022,05,30,11:14:33"
84,649.08,"2022,05,30,11:14:34"
84.75,650.08,"2022,05,30,11:14:35"
84.5,651.09,"2022,05,30,11:14:36"
85.5,652.09,"2022,05,30,11:14:37"
85.25,653.09,"2022,05,30,11:14:38"
85,654.09,"2022,05,30,11:14:39"
86,655.09,"2022,05,30,11:14:40"
85.25,656.09,"2022,05,30,11:14:41"
85.5,657.09,"2022,05,30,11:14:42"
86.25,658.09,"2022,05,30,11:14:43"
86.75,659.1,"2022,05,30,11:14:44"
86.75,660.1,"2022,05,30,11:14:45"
86.25,661.1,"2022,05,30,11:14:46"
86.25,662.1,"2022,05,30,11:14:47"
87,663.1,"2022,05,30,11:14:48"
87.25,664.1,"2022,05,30,11:14:49"
86.75,665.11,"2022,05,30,11:14:50"
87.75,666.11,"2022,05,30,11:14:51"
87.75,667.11,"2022,05,30,11:14:52"
88,668.11,"2022,05,30,11:14:53"
88,669.11,"2022,05,30,11:14:54"
88.25,670.11,"2022,05,30,11:14:55"
87.75,671.11,"2022,05,30,11:14:56"
88.75,672.12,"2022,05,30,11:14:57"
88.25,673.12,"2022,05,30,11:14:58"
88.75,674.12,"2022,05,30,11:14:59"
89,675.12,"2022,05,30,11:15:00"
89.5,676.12,"2022,05,30,11:15:01"
89.75,677.13,"2022,05,30,11:15:02"
89.5,678.13,"2022,05,30,11:15:03"
90.25,679.13,"2022,05,30,11:15:04"
89.75,680.13,"2022,05,30,11:15:05"
89.75,681.13,"2022,05,30,11:15:06"
90.5,682.13,"2022,05,30,11:15:07"
91,683.13,"2022,05,30,11:15:08"
90.5,684.14,"2022,05,30,11:15:09"
91,685.14,"2022,05,30,11:15:10"
91.25,686.14,"2022,05,30,11:15:11"
90.75,687.14,"2022,05,30,11:15:12"
91.25,688.14,"2022,05,30,11:15:13"
91.5,689.14,"2022,05,30,11:15:14"
91.5,690.15,"2022,05,30,11:15:15"
92,691.15,"2022,05,30,11:15:16"
92.25,692.15,"2022,05,30,11:15:17"
92.25,693.15,"2022,05,30,11:15:18"
92,694.15,"2022,05,30,11:15:19"
92,695.15,"2022,05,30,11:15:20"
92,696.15,"2022,05,30,11:15:21"
93,697.16,"2022,05,30,11:15:22"
93.25,698.16,"2022,05,30,11:15:23"
92.75,699.16,"2022,05,30,11:15:24"
93.5,700.16,"2022,05,30,11:15:25"
93,701.16,"2022,05,30,11:15:26"
93.25,702.16,"2022,05,30,11:15:27"
93.5,703.17,"2022,05,30,11:15:28"
94.25,704.17,"2022,05,30,11:15:29"
94.25,705.17,"2022,05,30,11:15:30"
93.75,706.17,"2022,05,30,11:15:31"
94.25,707.17,"2022,05,30,11:15:32"
94.25,708.17,"2022,05,30,11:15:33"
94.25,709.17,"2022,05,30,11:15:34"
94.5,710.18,"2022,05,30,11:15:35"
95,711.18,"2022,05,30,11:15:36"
95,712.18,"2022,05,30,11:15:37"
95.5,713.18,"2022,05,30,11:15:38"
95.25,714.18,"2022,05,30,11:15:39"
95.25,715.18,"2022,05,30,11:15:40"
95.25,716.19,"2022,05,30,11:15:41"
96,717.19,"2022,05,30,11:15:42"
96.5,718.19,"2022,05,30,11:15:43"
96,719.19,"2022,05,30,11:15:44"
96.5,720.19,"2022,05,30,11:15:45"
96,721.19,"2022,05,30,11:15:46"
96.5,722.2,"2022,05,30,11:15:47"
97,723.2,"2022,05,30,11:15:48"
97.25,724.2,"2022,05,30,11:15:49"
96.75,725.2,"2022,05,30,11:15:50"
97,726.2,"2022,05,30,11:15:51"
97.75,727.2,"2022,05,30,11:15:52"
97,728.21,"2022,05,30,11:15:53"
97.5,729.21,"2022,05,30,11:15:54"
98,730.21,"2022,05,30,11:15:55"
98.25,731.21,"2022,05,30,11:15:56"
98.5,732.21,"2022,05,30,11:15:57"
98.75,733.21,"2022,05,30,11:15:58"
98.75,734.21,"2022,05,30,11:15:59"
98.75,735.22,"2022,05,30,11:16:00"
99,736.22,"2022,05,30,11:16:01"
98.5,737.22,"2022,05,30,11:16:02"
99.5,738.22,"2022,05,30,11:16:03"
99.5,739.22,"2022,05,30,11:16:04"
99,740.22,"2022,05,30,11:16:05"
99.5,741.22,"2022,05,30,11:16:06"
99.25,742.23,"2022,05,30,11:16:07"
100.25,743.23,"2022,05,30,11:16:08"
100.75,744.23,"2022,05,30,11:16:09"
100,745.23,"2022,05,30,11:16:10"
100,746.23,"2022,05,30,11:16:11"
100.25,747.23,"2022,05,30,11:16:12"
101,748.24,"2022,05,30,11:16:13"
101,749.24,"2022,05,30,11:16:14"
101,750.24,"2022,05,30,11:16:15"
101,751.24,"2022,05,30,11:16:16"
101.5,752.24,"2022,05,30,11:16:17"
101.25,753.24,"2022,05,30,11:16:18"
101.75,754.25,"2022,05,30,11:16:19"
101.75,755.25,"2022,05,30,11:16:20"
101.5,756.25,"2022,05,30,11:16:21"
101.75,757.25,"2022,05,30,11:16:22"
101.75,758.25,"2022,05,30,11:16:23"
102,759.25,"2022,05,30,11:16:24"
102,760.26,"2022,05,30,11:16:25"
102.75,761.26,"2022,05,30,11:16:26"
102.75,762.26,"2022,05,30,11:16:27"
102.75,763.26,"2022,05,30,11:16:28"
103.25,764.26,"2022,05,30,11:16:29"
102.75,765.26,"2022,05,30,11:16:30"
103,766.27,"2022,05,30,11:16:31"
103.5,767.27,"2022,05,30,11:16:32"
104,768.27,"2022,05,30,11:16:33"
103.5,769.27,"2022,05,30,11:16:34"
104.25,770.27,"2022,05,30,11:16:35"
103.75,771.27,"2022,05,30,11:16:36"
104,772.27,"2022,05,30,11:16:37"
104,773.28,"2022,05,30,11:16:38"
104,774.28,"2022,05,30,11:16:39"
104.75,775.28,"2022,05,30,11:16:40"
104.5,776.28,"2022,05,30,11:16:41"
104.5,777.28,"2022,05,30,11:16:43"
104.5,778.28,"2022,05,30,11:16:43"
105.25,779.29,"2022,05,30,11:16:45"
104.75,780.29,"2022,05,30,11:16:45"
105,781.29,"2022,05,30,11:16:47"
105.5,782.29,"2022,05,30,11:16:47"
105.75,783.29,"2022,05,30,11:16:49"
105.75,784.29,"2022,05,30,11:16:50"
105.5,785.29,"2022,05,30,11:16:51"
105.75,786.3,"2022,05,30,11:16:52"
105.75,787.3,"2022,05,30,11:16:53"
105.75,788.3,"2022,05,30,11:16:54"
106,789.3,"2022,05,30,11:16:55"
106.75,790.3,"2022,05,30,11:16:56"
106.25,791.3,"2022,05,30,11:16:57"
106.25,792.31,"2022,05,30,11:16:58"
107,793.31,"2022,05,30,11:16:59"
107.25,794.31,"2022,05,30,11:17:00"
107,795.31,"2022,05,30,11:17:01"
107,796.31,"2022,05,30,11:17:02"
107.75,797.31,"2022,05,30,11:17:03"
107.5,798.32,"2022,05,30,11:17:04"
107.25,799.32,"2022,05,30,11:17:05"
107.5,800.32,"2022,05,30,11:17:06"
108.25,801.32,"2022,05,30,11:17:07"
107.75,802.32,"2022,05,30,11:17:08"
108.25,803.32,"2022,05,30,11:17:09"
108.75,804.33,"2022,05,30,11:17:10"
108.25,805.33,"2022,05,30,11:17:11"
108.25,806.33,"2022,05,30,11:17:12"
108.75,807.33,"2022,05,30,11:17:13"
108.5,808.33,"2022,05,30,11:17:14"
108.75,809.33,"2022,05,30,11:17:15"
109,810.33,"2022,05,30,11:17:16"
109.5,811.34,"2022,05,30,11:17:17"
109.25,812.34,"2022,05,30,11:17:18"
110,813.34,"2022,05,30,11:17:19"
110,814.34,"2022,05,30,11:17:20"
109.75,815.34,"2022,05,30,11:17:21"
110,816.34,"2022,05,30,11:17:22"
110.5,817.35,"2022,05,30,11:17:23"
110.5,818.35,"2022,05,30,11:17:24"
110.75,819.35,"2022,05,30,11:17:25"
110.25,820.35,"2022,05,30,11:17:26"
110.5,821.35,"2022,05,30,11:17:27"
111,822.35,"2022,05,30,11:17:28"
110.75,823.36,"2022,05,30,11:17:29"
111,824.36,"2022,05,30,11:17:30"
111,825.36,"2022,05,30,11:17:31"
111.25,826.36,"2022,05,30,11:17:32"
111.75,827.36,"2022,05,30,11:17:33"
111.25,828.36,"2022,05,30,11:17:34"
111.75,829.36,"2022,05,30,11:17:35"
112,830.37,"2022,05,30,11:17:36"
112.25,831.37,"2022,05,30,11:17:37"
112,832.37,"2022,05,30,11:17:38"
112.5,833.37,"2022,05,30,11:17:39"
112.25,834.37,"2022,05,30,11:17:40"
112.5,835.38,"2022,05,30,11:17:41"
112.5,836.38,"2022,05,30,11:17:42"
113,837.38,"2022,05,30,11:17:43"
112.75,838.38,"2022,05,30,11:17:44"
113.5,839.38,"2022,05,30,11:17:45"
112.75,840.38,"2022,05,30,11:17:46"
113.75,841.38,"2022,05,30,11:17:47"
113.75,842.39,"2022,05,30,11:17:48"
113.25,843.39,"2022,05,30,11:17:49"
114,844.39,"2022,05,30,11:17:50"
113.5,845.39,"2022,05,30,11:17:51"
114.5,846.39,"2022,05,30,11:17:52"
114.5,847.39,"2022,05,30,11:17:53"
113.75,848.4,"2022,05,30,11:17:54"
114.5,849.4,"2022,05,30,11:17:55"
114.5,850.4,"2022,05,30,11:17:56"
115,851.4,"2022,05,30,11:17:57"
114.25,852.4,"2022,05,30,11:17:58"
115,853.4,"2022,05,30,11:17:59"
114.75,854.41,"2022,05,30,11:18:00"
115.5,855.41,"2022,05,30,11:18:01"
115.25,856.41,"2022,05,30,11:18:02"
115.25,857.41,"2022,05,30,11:18:03"
115.75,858.41,"2022,05,30,11:18:04"
116,859.41,"2022,05,30,11:18:05"
115.5,860.41,"2022,05,30,11:18:06"
116.25,861.42,"2022,05,30,11:18:07"
115.75,862.42,"2022,05,30,11:18:08"
116.5,863.42,"2022,05,30,11:18:09"
116,864.42,"2022,05,30,11:18:10"
116.5,865.42,"2022,05,30,11:18:11"
116.25,866.42,"2022,05,30,11:18:12"
117,867.43,"2022,05,30,11:18:13"
117,868.43,"2022,05,30,11:18:14"
117.25,869.43,"2022,05,30,11:18:15"
117,870.43,"2022,05,30,11:18:16"
117,871.43,"2022,05,30,11:18:17"
117.5,872.43,"2022,05,30,11:18:18"
117.25,873.44,"2022,05,30,11:18:19"
117.25,874.44,"2022,05,30,11:18:20"
117.5,875.44,"2022,05,30,11:18:21"
118,876.44,"2022,05,30,11:18:22"
117.5,877.44,"2022,05,30,11:18:23"
117.5,878.44,"2022,05,30,11:18:24"
118,879.45,"2022,05,30,11:18:25"
118.5,880.45,"2022,05,30,11:18:26"
118.5,881.45,"2022,05,30,11:18:27"
118,882.45,"2022,05,30,11:18:28"
118.75,883.45,"2022,05,30,11:18:29"
118.25,884.45,"2022,05,30,11:18:30"
118.75,885.46,"2022,05,30,11:18:31"
118.75,886.46,"2022,05,30,11:18:32"
118.75,887.46,"2022,05,30,11:18:33"
119.5,888.46,"2022,05,30,11:18:34"
118.75,889.46,"2022,05,30,11:18:35"
119.75,890.46,"2022,05,30,11:18:36"
119.5,891.47,"2022,05,30,11:18:37"
119.25,892.47,"2022,05,30,11:18:38"
119.75,893.47,"2022,05,30,11:18:39"
119.5,894.47,"2022,05,30,11:18:40"
120.25,895.47,"2022,05,30,11:18:41"
119.75,896.47,"2022,05,30,11:18:42"
119.5,897.48,"2022,05,30,11:18:43"
119.75,898.48,"2022,05,30,11:18:44"
120,899.48,"2022,05,30,11:18:45"
119.75,900.48,"2022,05,30,11:18:46"
121,901.48,"2022,05,30,11:18:47"
120.75,902.49,"2022,05,30,11:18:48"
120.75,903.49,"2022,05,30,11:18:49"
121,904.49,"2022,05,30,11:18:50"
120.5,905.49,"2022,05,30,11:18:51"
120.75,906.49,"2022,05,30,11:18:52"
120.75,907.5,"2022,05,30,11:18:53"
121.5,908.5,"2022,05,30,11:18:54"
120.75,909.5,"2022,05,30,11:18:55"
121,910.5,"2022,05,30,11:18:56"
121,911.5,"2022,05,30,11:18:57"
121.5,912.5,"2022,05,30,11:18:58"
121.5,913.5,"2022,05,30,11:18:59"
121,914.51,"2022,05,30,11:19:00"
121.5,915.51,"2022,05,30,11:19:01"
121,916.51,"2022,05,30,11:19:02"
121.5,917.51,"2022,05,30,11:19:03"
120.75,918.51,"2022,05,30,11:19:04"
121.5,919.51,"2022,05,30,11:19:05"
121.5,920.52,"2022,05,30,11:19:06"
120.5,921.52,"2022,05,30,11:19:07"
121,922.52,"2022,05,30,11:19:08"
120.5,923.52,"2022,05,30,11:19:09"
120.25,924.52,"2022,05,30,11:19:10"
120.5,925.52,"2022,05,30,11:19:11"
120,926.53,"2022,05,30,11:19:12"
121,927.53,"2022,05,30,11:19:13"
120.5,928.53,"2022,05,30,11:19:14"
120.75,929.53,"2022,05,30,11:19:15"
120,930.53,"2022,05,30,11:19:16"
120.75,931.53,"2022,05,30,11:19:17"
120.25,932.54,"2022,05,30,11:19:18"
119.75,933.54,"2022,05,30,11:19:19"
120.5,934.54,"2022,05,30,11:19:20"
119.5,935.54,"2022,05,30,11:19:21"
119.5,936.54,"2022,05,30,11:19:22"
119.5,937.54,"2022,05,30,11:19:23"
119.25,938.54,"2022,05,30,11:19:24"
119.75,939.55,"2022,05,30,11:19:25"
120,940.55,"2022,05,30,11:19:26"
119.25,941.55,"2022,05,30,11:19:27"
119.25,942.55,"2022,05,30,11:19:28"
119.75,943.55,"2022,05,30,11:19:29"
119.75,944.55,"2022,05,30,11:19:30"
119.75,945.56,"2022,05,30,11:19:31"
119.25,946.56,"2022,05,30,11:19:32"
119,947.56,"2022,05,30,11:19:33"
119.75,948.56,"2022,05,30,11:19:34"
120,949.56,"2022,05,30,11:19:35"
119.5,950.57,"2022,05,30,11:19:36"
120,951.57,"2022,05,30,11:19:37"
119.25,952.57,"2022,05,30,11:19:38"
120,953.57,"2022,05,30,11:19:39"
119.25,954.57,"2022,05,30,11:19:40"
120.25,955.57,"2022,05,30,11:19:41"
119.75,956.58,"2022,05,30,11:19:42"
120,957.58,"2022,05,30,11:19:43"
119.25,958.58,"2022,05,30,11:19:44"
120,959.58,"2022,05,30,11:19:45"
120.25,960.58,"2022,05,30,11:19:46"
119.75,961.58,"2022,05,30,11:19:47"
119.75,962.59,"2022,05,30,11:19:48"
120.5,963.59,"2022,05,30,11:19:49"
120,964.59,"2022,05,30,11:19:50"
120.25,965.59,"2022,05,30,11:19:51"
119.5,966.59,"2022,05,30,11:19:52"
120,967.59,"2022,05,30,11:19:53"
120.25,968.6,"2022,05,30,11:19:54"
120,969.6,"2022,05,30,11:19:55"
119.75,970.6,"2022,05,30,11:19:56"
120,971.6,"2022,05,30,11:19:57"
120.25,972.6,"2022,05,30,11:19:58"
120.25,973.6,"2022,05,30,11:19:59"
120.25,974.61,"2022,05,30,11:20:00"
120.75,975.61,"2022,05,30,11:20:01"
120,976.61,"2022,05,30,11:20:02"
120,977.61,"2022,05,30,11:20:03"
120,978.61,"2022,05,30,11:20:04"
120.5,979.61,"2022,05,30,11:20:05"
119.75,980.62,"2022,05,30,11:20:06"
120.25,981.62,"2022,05,30,11:20:07"
120.75,982.62,"2022,05,30,11:20:08"
120,983.62,"2022,05,30,11:20:09"
120.75,984.62,"2022,05,30,11:20:10"
120,985.63,"2022,05,30,11:20:11"
120,986.63,"2022,05,30,11:20:12"
119.75,987.63,"2022,05,30,11:20:13"
120.5,988.63,"2022,05,30,11:20:14"
120.5,989.63,"2022,05,30,11:20:15"
119.75,990.63,"2022,05,30,11:20:16"
120.25,991.64,"2022,05,30,11:20:17"
120.25,992.64,"2022,05,30,11:20:18"
119.75,993.64,"2022,05,30,11:20:19"
120,994.64,"2022,05,30,11:20:20"
120.25,995.64,"2022,05,30,11:20:21"
120.75,996.64,"2022,05,30,11:20:22"
119.75,997.65,"2022,05,30,11:20:23"
120,998.65,"2022,05,30,11:20:24"
120,999.65,"2022,05,30,11:20:25"
120.75,1000.65,"2022,05,30,11:20:26"
119.75,1001.65,"2022,05,30,11:20:27"
120.5,1002.65,"2022,05,30,11:20:28"
120.5,1003.66,"2022,05,30,11:20:29"
120,1004.66,"2022,05,30,11:20:30"
120,1005.66,"2022,05,30,11:20:31"
119.5,1006.66,"2022,05,30,11:20:32"
119.75,1007.66,"2022,05,30,11:20:33"
120.75,1008.66,"2022,05,30,11:20:34"
120,1009.66,"2022,05,30,11:20:35"
120.5,1010.67,"2022,05,30,11:20:36"
119.75,1011.67,"2022,05,30,11:20:37"
120,1012.67,"2022,05,30,11:20:38"
119.5,1013.67,"2022,05,30,11:20:39"
120.5,1014.67,"2022,05,30,11:20:40"
119.75,1015.68,"2022,05,30,11:20:41"
120.25,1016.68,"2022,05,30,11:20:42"
119.75,1017.68,"2022,05,30,11:20:43"
120.5,1018.68,"2022,05,30,11:20:44"
120.5,1019.68,"2022,05,30,11:20:45"
120,1020.69,"2022,05,30,11:20:46"
120.5,1021.69,"2022,05,30,11:20:47"
120.25,1022.69,"2022,05,30,11:20:48"
119.75,1023.69,"2022,05,30,11:20:49"
120,1024.69,"2022,05,30,11:20:50"
120,1025.69,"2022,05,30,11:20:51"
120.5,1026.69,"2022,05,30,11:20:52"
119.75,1027.7,"2022,05,30,11:20:53"
120,1028.7,"2022,05,30,11:20:54"
120,1029.7,"2022,05,30,11:20:55"
121,1030.7,"2022,05,30,11:20:56"
120.5,1031.7,"2022,05,30,11:20:57"
120.5,1032.71,"2022,05,30,11:20:58"
120,1033.71,"2022,05,30,11:20:59"
120.25,1034.71,"2022,05,30,11:21:00"
120.75,1035.71,"2022,05,30,11:21:01"
120.75,1036.71,"2022,05,30,11:21:02"
120.5,1037.71,"2022,05,30,11:21:03"
120.25,1038.72,"2022,05,30,11:21:04"
119.75,1039.72,"2022,05,30,11:21:05"
120.25,1040.72,"2022,05,30,11:21:06"
120,1041.72,"2022,05,30,11:21:07"
120.75,1042.72,"2022,05,30,11:21:08"
120.5,1043.72,"2022,05,30,11:21:09"
120,1044.73,"2022,05,30,11:21:10"
120.25,1045.73,"2022,05,30,11:21:11"
120.5,1046.73,"2022,05,30,11:21:12"
120,1047.73,"2022,05,30,11:21:13"
120.75,1048.73,"2022,05,30,11:21:14"
120,1049.73,"2022,05,30,11:21:15"
120.5,1050.74,"2022,05,30,11:21:16"
120.75,1051.74,"2022,05,30,11:21:17"
120.25,1052.74,"2022,05,30,11:21:18"
120.5,1053.74,"2022,05,30,11:21:19"
120.5,1054.74,"2022,05,30,11:21:20"
120,1055.75,"2022,05,30,11:21:21"
120,1056.75,"2022,05,30,11:21:22"
120.5,1057.75,"2022,05,30,11:21:23"
119.75,1058.75,"2022,05,30,11:21:24"
120.5,1059.75,"2022,05,30,11:21:25"
119.75,1060.75,"2022,05,30,11:21:26"
119.75,1061.76,"2022,05,30,11:21:27"
119.75,1062.76,"2022,05,30,11:21:28"
120,1063.76,"2022,05,30,11:21:29"
120.25,1064.76,"2022,05,30,11:21:30"
119.5,1065.76,"2022,05,30,11:21:31"
120.25,1066.77,"2022,05,30,11:21:32"
120.25,1067.77,"2022,05,30,11:21:33"
120,1068.77,"2022,05,30,11:21:34"
120.5,1069.77,"2022,05,30,11:21:35"
120.25,1070.77,"2022,05,30,11:21:36"
119.75,1071.77,"2022,05,30,11:21:37"
119.75,1072.77,"2022,05,30,11:21:38"
120,1073.78,"2022,05,30,11:21:39"
119.75,1074.78,"2022,05,30,11:21:40"
120.25,1075.78,"2022,05,30,11:21:41"
120.5,1076.78,"2022,05,30,11:21:42"
120.5,1077.8,"2022,05,30,11:21:43"
120.25,1078.8,"2022,05,30,11:21:44"
120,1079.8,"2022,05,30,11:21:45"
120,1080.8,"2022,05,30,11:21:46"
120,1081.81,"2022,05,30,11:21:47"
120.75,1082.81,"2022,05,30,11:21:48"
120.25,1083.81,"2022,05,30,11:21:49"
120.75,1084.81,"2022,05,30,11:21:50"
120,1085.81,"2022,05,30,11:21:51"
120.5,1086.81,"2022,05,30,11:21:52"
121.25,1087.81,"2022,05,30,11:21:53"
120.75,1088.82,"2022,05,30,11:21:54"
120.75,1089.82,"2022,05,30,11:21:55"
120.5,1090.82,"2022,05,30,11:21:56"
121.5,1091.82,"2022,05,30,11:21:57"
120.75,1092.82,"2022,05,30,11:21:58"
121.75,1093.82,"2022,05,30,11:21:59"
121,1094.83,"2022,05,30,11:22:00"
121.25,1095.83,"2022,05,30,11:22:01"
121.75,1096.83,"2022,05,30,11:22:02"
121.25,1097.83,"2022,05,30,11:22:03"
122,1098.83,"2022,05,30,11:22:04"
121.75,1099.83,"2022,05,30,11:22:05"
122.25,1100.84,"2022,05,30,11:22:06"
122.25,1101.84,"2022,05,30,11:22:07"
122.5,1102.84,"2022,05,30,11:22:08"
122.5,1103.84,"2022,05,30,11:22:09"
122.75,1104.84,"2022,05,30,11:22:10"
122.75,1105.84,"2022,05,30,11:22:11"
122.25,1106.85,"2022,05,30,11:22:12"
123.25,1107.85,"2022,05,30,11:22:13"
122.75,1108.85,"2022,05,30,11:22:14"
122.75,1109.85,"2022,05,30,11:22:15"
122.75,1110.85,"2022,05,30,11:22:16"
123.75,1111.85,"2022,05,30,11:22:17"
123,1112.86,"2022,05,30,11:22:18"
123.5,1113.86,"2022,05,30,11:22:19"
123.25,1114.86,"2022,05,30,11:22:20"
124.25,1115.86,"2022,05,30,11:22:21"
124.5,1116.86,"2022,05,30,11:22:22"
124.25,1117.86,"2022,05,30,11:22:23"
123.75,1118.87,"2022,05,30,11:22:24"
124.5,1119.87,"2022,05,30,11:22:25"
124.25,1120.87,"2022,05,30,11:22:26"
124.25,1121.87,"2022,05,30,11:22:27"
125.25,1122.87,"2022,05,30,11:22:28"
124.75,1123.87,"2022,05,30,11:22:29"
125,1124.88,"2022,05,30,11:22:30"
125,1125.88,"2022,05,30,11:22:31"
125,1126.88,"2022,05,30,11:22:32"
126,1127.88,"2022,05,30,11:22:33"
125.5,1128.88,"2022,05,30,11:22:34"
125.5,1129.88,"2022,05,30,11:22:35"
125.5,1130.89,"2022,05,30,11:22:36"
126,1131.89,"2022,05,30,11:22:37"
126,1132.89,"2022,05,30,11:22:38"
127,1133.89,"2022,05,30,11:22:39"
126.5,1134.89,"2022,05,30,11:22:40"
127.25,1135.89,"2022,05,30,11:22:41"
126.75,1136.9,"2022,05,30,11:22:42"
127,1137.9,"2022,05,30,11:22:43"
126.75,1138.9,"2022,05,30,11:22:44"
127.25,1139.9,"2022,05,30,11:22:45"
127.25,1140.9,"2022,05,30,11:22:46"
128,1141.9,"2022,05,30,11:22:47"
127.75,1142.91,"2022,05,30,11:22:48"
127.5,1143.91,"2022,05,30,11:22:49"
127.75,1144.91,"2022,05,30,11:22:50"
128.5,1145.91,"2022,05,30,11:22:51"
128,1146.91,"2022,05,30,11:22:52"
128.25,1147.91,"2022,05,30,11:22:53"
129,1148.92,"2022,05,30,11:22:54"
128.5,1149.92,"2022,05,30,11:22:55"
129,1150.92,"2022,05,30,11:22:56"
129.25,1151.92,"2022,05,30,11:22:57"
129,1152.92,"2022,05,30,11:22:58"
129,1153.92,"2022,05,30,11:22:59"
129.25,1154.93,"2022,05,30,11:23:00"
130,1155.93,"2022,05,30,11:23:01"
129.5,1156.93,"2022,05,30,11:23:02"
130.25,1157.93,"2022,05,30,11:23:03"
130.5,1158.93,"2022,05,30,11:23:04"
130,1159.93,"2022,05,30,11:23:05"
130.25,1160.94,"2022,05,30,11:23:06"
130,1161.94,"2022,05,30,11:23:07"
130.5,1162.94,"2022,05,30,11:23:08"
130.5,1163.94,"2022,05,30,11:23:09"
130.5,1164.94,"2022,05,30,11:23:10"
131.25,1165.94,"2022,05,30,11:23:11"
131.5,1166.94,"2022,05,30,11:23:12"
131,1167.95,"2022,05,30,11:23:13"
131.75,1168.95,"2022,05,30,11:23:14"
131.25,1169.95,"2022,05,30,11:23:15"
131,1170.95,"2022,05,30,11:23:16"
132,1171.95,"2022,05,30,11:23:17"
131.25,1172.95,"2022,05,30,11:23:18"
132.25,1173.96,"2022,05,30,11:23:19"
132.25,1174.96,"2022,05,30,11:23:20"
132.5,1175.96,"2022,05,30,11:23:21"
132.5,1176.96,"2022,05,30,11:23:22"
132,1177.96,"2022,05,30,11:23:23"
132.25,1178.96,"2022,05,30,11:23:24"
132.25,1179.97,"2022,05,30,11:23:25"
132.25,1180.97,"2022,05,30,11:23:26"
133,1181.97,"2022,05,30,11:23:27"
133,1182.97,"2022,05,30,11:23:28"
133.25,1183.97,"2022,05,30,11:23:29"
133,1184.97,"2022,05,30,11:23:30"
133,1185.98,"2022,05,30,11:23:31"
133.75,1186.98,"2022,05,30,11:23:32"
134,1187.98,"2022,05,30,11:23:33"
134,1188.98,"2022,05,30,11:23:34"
133.75,1189.98,"2022,05,30,11:23:35"
134,1190.98,"2022,05,30,11:23:36"
134.75,1191.98,"2022,05,30,11:23:37"
134.75,1192.99,"2022,05,30,11:23:38"
135,1193.99,"2022,05,30,11:23:39"
134.5,1194.99,"2022,05,30,11:23:40"
134.75,1195.99,"2022,05,30,11:23:41"
135.5,1196.99,"2022,05,30,11:23:42"
135,1198,"2022,05,30,11:23:43"
135.5,1199,"2022,05,30,11:23:44"
135.75,1200,"2022,05,30,11:23:45"
135,1201,"2022,05,30,11:23:46"
136,1202,"2022,05,30,11:23:47"
136.25,1203,"2022,05,30,11:23:48"
136,1204.01,"2022,05,30,11:23:49"
135.5,1205.01,"2022,05,30,11:23:50"
136.25,1206.01,"2022,05,30,11:23:51"
136.5,1207.01,"2022,05,30,11:23:52"
136.5,1208.01,"2022,05,30,11:23:53"
135.75,1209.01,"2022,05,30,11:23:54"
136.25,1210.02,"2022,05,30,11:23:55"
137,1211.02,"2022,05,30,11:23:56"
137,1212.02,"2022,05,30,11:23:57"
137.25,1213.02,"2022,05,30,11:23:58"
136.75,1214.02,"2022,05,30,11:23:59"
137,1215.02,"2022,05,30,11:24:00"
137.5,1216.03,"2022,05,30,11:24:01"
138,1217.03,"2022,05,30,11:24:02"
137.25,1218.03,"2022,05,30,11:24:03"
137.5,1219.03,"2022,05,30,11:24:04"
137.5,1220.03,"2022,05,30,11:24:05"
138,1221.03,"2022,05,30,11:24:06"
138.5,1222.04,"2022,05,30,11:24:07"
137.75,1223.04,"2022,05,30,11:24:08"
137.75,1224.04,"2022,05,30,11:24:09"
138.75,1225.04,"2022,05,30,11:24:10"
138.5,1226.04,"2022,05,30,11:24:11"
138.25,1227.04,"2022,05,30,11:24:12"
138.5,1228.05,"2022,05,30,11:24:13"
139.5,1229.05,"2022,05,30,11:24:14"
139,1230.05,"2022,05,30,11:24:15"
139.5,1231.05,"2022,05,30,11:24:16"
139,1232.05,"2022,05,30,11:24:17"
139.5,1233.05,"2022,05,30,11:24:18"
139.25,1234.05,"2022,05,30,11:24:19"
140,1235.06,"2022,05,30,11:24:20"
139.75,1236.06,"2022,05,30,11:24:21"
