"T",,"date"
40.5,142.26,"2022,05,30,11:06:08"
40,143.26,"2022,05,30,11:06:09"
41,144.26,"2022,05,30,11:06:10"
40.75,145.26,"2022,05,30,11:06:11"
40,146.26,"2022,05,30,11:06:12"
41,147.27,"2022,05,30,11:06:13"
40.75,148.27,"2022,05,30,11:06:14"
40.75,149.27,"2022,05,30,11:06:15"
40.75,150.27,"2022,05,30,11:06:16"
40.25,151.27,"2022,05,30,11:06:17"
40.25,152.27,"2022,05,30,11:06:18"
40,153.27,"2022,05,30,11:06:19"
40.5,154.28,"2022,05,30,11:06:20"
40.75,155.28,"2022,05,30,11:06:21"
40.5,156.28,"2022,05,30,11:06:22"
40.75,157.28,"2022,05,30,11:06:23"
40.75,158.28,"2022,05,30,11:06:24"
41,159.28,"2022,05,30,11:06:25"
40.75,160.29,"2022,05,30,11:06:26"
40.5,161.29,"2022,05,30,11:06:27"
40.5,162.29,"2022,05,30,11:06:28"
40.75,163.29,"2022,05,30,11:06:29"
40.75,164.29,"2022,05,30,11:06:30"
41,165.29,"2022,05,30,11:06:31"
40.75,166.3,"2022,05,30,11:06:32"
40.5,167.3,"2022,05,30,11:06:33"
41.25,168.3,"2022,05,30,11:06:34"
41,169.3,"2022,05,30,11:06:35"
41,170.3,"2022,05,30,11:06:36"
40.25,171.3,"2022,05,30,11:06:37"
40.5,172.31,"2022,05,30,11:06:38"
40.5,173.31,"2022,05,30,11:06:39"
40.5,174.31,"2022,05,30,11:06:40"
41,175.31,"2022,05,30,11:06:41"
40.5,176.31,"2022,05,30,11:06:42"
40.5,177.31,"2022,05,30,11:06:43"
40.75,178.31,"2022,05,30,11:06:44"
40.5,179.32,"2022,05,30,11:06:45"
40.5,180.32,"2022,05,30,11:06:46"
40.5,181.32,"2022,05,30,11:06:47"
41,182.32,"2022,05,30,11:06:48"
40.5,183.32,"2022,05,30,11:06:49"
41,184.32,"2022,05,30,11:06:50"
41.25,185.33,"2022,05,30,11:06:51"
40.75,186.33,"2022,05,30,11:06:52"
41,187.33,"2022,05,30,11:06:53"
40.5,188.33,"2022,05,30,11:06:54"
40.25,189.33,"2022,05,30,11:06:55"
40.5,190.33,"2022,05,30,11:06:56"
41,191.34,"2022,05,30,11:06:57"
40.5,192.34,"2022,05,30,11:06:58"
40.5,193.34,"2022,05,30,11:06:59"
40.25,194.34,"2022,05,30,11:07:00"
41,195.34,"2022,05,30,11:07:01"
40.25,196.34,"2022,05,30,11:07:02"
40.5,197.34,"2022,05,30,11:07:03"
40.25,198.35,"2022,05,30,11:07:04"
40.25,199.35,"2022,05,30,11:07:05"
41,200.35,"2022,05,30,11:07:06"
40.25,201.35,"2022,05,30,11:07:07"
41,202.35,"2022,05,30,11:07:08"
41,203.35,"2022,05,30,11:07:09"
40.25,204.36,"2022,05,30,11:07:10"
40.25,205.36,"2022,05,30,11:07:11"
41,206.37,"2022,05,30,11:07:12"
40.5,207.37,"2022,05,30,11:07:13"
40.75,208.37,"2022,05,30,11:07:14"
41,209.37,"2022,05,30,11:07:15"
41,210.38,"2022,05,30,11:07:16"
40.25,211.38,"2022,05,30,11:07:17"
40.5,212.38,"2022,05,30,11:07:18"
40.75,213.38,"2022,05,30,11:07:19"
41,214.38,"2022,05,30,11:07:20"
41.25,215.38,"2022,05,30,11:07:21"
41.25,216.38,"2022,05,30,11:07:22"
41.75,217.39,"2022,05,30,11:07:23"
41,218.39,"2022,05,30,11:07:24"
41.5,219.39,"2022,05,30,11:07:25"
42,220.39,"2022,05,30,11:07:26"
42,221.39,"2022,05,30,11:07:27"
42,222.4,"2022,05,30,11:07:28"
41.75,223.4,"2022,05,30,11:07:29"
42,224.4,"2022,05,30,11:07:30"
42.5,225.4,"2022,05,30,11:07:31"
42,226.4,"2022,05,30,11:07:32"
43,227.4,"2022,05,30,11:07:33"
43.5,228.4,"2022,05,30,11:07:34"
42.75,229.41,"2022,05,30,11:07:35"
43.75,230.41,"2022,05,30,11:07:36"
43.75,231.41,"2022,05,30,11:07:37"
43.25,232.41,"2022,05,30,11:07:38"
44,233.41,"2022,05,30,11:07:39"
44,234.41,"2022,05,30,11:07:40"
44.5,235.41,"2022,05,30,11:07:41"
44.75,236.42,"2022,05,30,11:07:42"
44.5,237.42,"2022,05,30,11:07:43"
44.75,238.42,"2022,05,30,11:07:44"
45.75,239.42,"2022,05,30,11:07:45"
45.5,240.42,"2022,05,30,11:07:46"
45.75,241.42,"2022,05,30,11:07:47"
45.5,242.43,"2022,05,30,11:07:48"
46.5,243.43,"2022,05,30,11:07:49"
46.75,244.43,"2022,05,30,11:07:50"
46,245.43,"2022,05,30,11:07:51"
46.5,246.43,"2022,05,30,11:07:52"
47.5,247.43,"2022,05,30,11:07:53"
47,248.44,"2022,05,30,11:07:54"
47,249.44,"2022,05,30,11:07:55"
47.25,250.44,"2022,05,30,11:07:56"
48.25,251.44,"2022,05,30,11:07:57"
48.25,252.44,"2022,05,30,11:07:58"
48.75,253.44,"2022,05,30,11:07:59"
48.75,254.44,"2022,05,30,11:08:00"
49.25,255.45,"2022,05,30,11:08:01"
49,256.45,"2022,05,30,11:08:02"
49.25,257.45,"2022,05,30,11:08:03"
49.75,258.45,"2022,05,30,11:08:04"
49.25,259.45,"2022,05,30,11:08:05"
49.75,260.45,"2022,05,30,11:08:06"
49.75,261.45,"2022,05,30,11:08:07"
50.25,262.46,"2022,05,30,11:08:08"
50.25,263.46,"2022,05,30,11:08:09"
51,264.46,"2022,05,30,11:08:10"
51.25,265.46,"2022,05,30,11:08:11"
51.25,266.46,"2022,05,30,11:08:12"
51.75,267.46,"2022,05,30,11:08:13"
51.25,268.47,"2022,05,30,11:08:14"
52,269.47,"2022,05,30,11:08:15"
52.5,270.47,"2022,05,30,11:08:16"
52.25,271.47,"2022,05,30,11:08:17"
52.75,272.47,"2022,05,30,11:08:18"
52.25,273.47,"2022,05,30,11:08:19"
52.5,274.48,"2022,05,30,11:08:20"
52.5,275.48,"2022,05,30,11:08:21"
53.5,276.48,"2022,05,30,11:08:22"
53.25,277.48,"2022,05,30,11:08:23"
53.5,278.48,"2022,05,30,11:08:24"
53.75,279.48,"2022,05,30,11:08:25"
54.75,280.48,"2022,05,30,11:08:26"
54.25,281.49,"2022,05,30,11:08:27"
54.75,282.49,"2022,05,30,11:08:28"
54.75,283.49,"2022,05,30,11:08:29"
55.25,284.49,"2022,05,30,11:08:30"
55.75,285.49,"2022,05,30,11:08:31"
55.25,286.49,"2022,05,30,11:08:32"
55.5,287.5,"2022,05,30,11:08:33"
56.25,288.5,"2022,05,30,11:08:34"
56.5,289.5,"2022,05,30,11:08:35"
56.5,290.5,"2022,05,30,11:08:36"
57,291.5,"2022,05,30,11:08:37"
56.75,292.5,"2022,05,30,11:08:38"
56.5,293.5,"2022,05,30,11:08:39"
57,294.51,"2022,05,30,11:08:40"
57.5,295.51,"2022,05,30,11:08:41"
58,296.51,"2022,05,30,11:08:42"
57.5,297.51,"2022,05,30,11:08:43"
57.5,298.51,"2022,05,30,11:08:44"
58.25,299.51,"2022,05,30,11:08:45"
57.75,300.52,"2022,05,30,11:08:46"
58.75,301.52,"2022,05,30,11:08:47"
58.25,302.52,"2022,05,30,11:08:48"
59.25,303.52,"2022,05,30,11:08:49"
59.25,304.52,"2022,05,30,11:08:50"
59.5,305.52,"2022,05,30,11:08:51"
59.5,306.52,"2022,05,30,11:08:52"
59.25,307.53,"2022,05,30,11:08:53"
60,308.53,"2022,05,30,11:08:54"
59.5,309.53,"2022,05,30,11:08:55"
60.25,310.53,"2022,05,30,11:08:56"
60.75,311.53,"2022,05,30,11:08:57"
60,312.53,"2022,05,30,11:08:58"
60.5,313.54,"2022,05,30,11:08:59"
60.75,314.54,"2022,05,30,11:09:00"
61.25,315.54,"2022,05,30,11:09:01"
61.5,316.54,"2022,05,30,11:09:02"
61.75,317.54,"2022,05,30,11:09:03"
62,318.54,"2022,05,30,11:09:04"
62,319.55,"2022,05,30,11:09:05"
61.75,320.55,"2022,05,30,11:09:06"
62.5,321.55,"2022,05,30,11:09:07"
62.5,322.55,"2022,05,30,11:09:08"
62.75,323.55,"2022,05,30,11:09:09"
63,324.55,"2022,05,30,11:09:10"
63.25,325.55,"2022,05,30,11:09:11"
63,326.56,"2022,05,30,11:09:12"
63.5,327.56,"2022,05,30,11:09:13"
63.5,328.56,"2022,05,30,11:09:14"
63.75,329.56,"2022,05,30,11:09:15"
63.25,330.56,"2022,05,30,11:09:16"
64,331.56,"2022,05,30,11:09:17"
63.75,332.57,"2022,05,30,11:09:18"
64,333.57,"2022,05,30,11:09:19"
64.75,334.57,"2022,05,30,11:09:20"
64.75,335.57,"2022,05,30,11:09:21"
64.75,336.57,"2022,05,30,11:09:22"
65.25,337.57,"2022,05,30,11:09:23"
64.75,338.58,"2022,05,30,11:09:24"
65,339.58,"2022,05,30,11:09:25"
66,340.58,"2022,05,30,11:09:26"
66,341.58,"2022,05,30,11:09:27"
65.75,342.58,"2022,05,30,11:09:28"
66.5,343.58,"2022,05,30,11:09:29"
65.75,344.58,"2022,05,30,11:09:30"
66.5,345.58,"2022,05,30,11:09:31"
66.75,346.59,"2022,05,30,11:09:32"
66.5,347.59,"2022,05,30,11:09:33"
67.25,348.59,"2022,05,30,11:09:34"
67.25,349.59,"2022,05,30,11:09:35"
66.75,350.59,"2022,05,30,11:09:36"
67.25,351.6,"2022,05,30,11:09:37"
67.75,352.6,"2022,05,30,11:09:38"
68,353.6,"2022,05,30,11:09:39"
67.75,354.6,"2022,05,30,11:09:40"
68,355.6,"2022,05,30,11:09:41"
68,356.6,"2022,05,30,11:09:42"
69,357.6,"2022,05,30,11:09:43"
69,358.61,"2022,05,30,11:09:44"
69.5,359.61,"2022,05,30,11:09:45"
69,360.61,"2022,05,30,11:09:46"
69,361.61,"2022,05,30,11:09:47"
69,362.61,"2022,05,30,11:09:48"
69.25,363.61,"2022,05,30,11:09:49"
70.25,364.61,"2022,05,30,11:09:50"
70.25,365.62,"2022,05,30,11:09:51"
70.5,366.62,"2022,05,30,11:09:52"
70.25,367.62,"2022,05,30,11:09:53"
70.5,368.62,"2022,05,30,11:09:54"
70.25,369.62,"2022,05,30,11:09:55"
70.25,370.62,"2022,05,30,11:09:56"
71.25,371.63,"2022,05,30,11:09:57"
70.75,372.63,"2022,05,30,11:09:58"
71.5,373.63,"2022,05,30,11:09:59"
71.5,374.63,"2022,05,30,11:10:00"
71.75,375.63,"2022,05,30,11:10:01"
71,376.63,"2022,05,30,11:10:02"
71.75,377.64,"2022,05,30,11:10:03"
72,378.64,"2022,05,30,11:10:04"
71.75,379.64,"2022,05,30,11:10:05"
71.75,380.64,"2022,05,30,11:10:06"
72.25,381.64,"2022,05,30,11:10:07"
72,382.64,"2022,05,30,11:10:08"
73,383.64,"2022,05,30,11:10:09"
72.75,384.64,"2022,05,30,11:10:10"
72.75,385.65,"2022,05,30,11:10:11"
73.75,386.65,"2022,05,30,11:10:12"
73.5,387.65,"2022,05,30,11:10:13"
73.25,388.65,"2022,05,30,11:10:14"
73.75,389.65,"2022,05,30,11:10:15"
73.75,390.66,"2022,05,30,11:10:16"
74,391.66,"2022,05,30,11:10:17"
74,392.66,"2022,05,30,11:10:18"
74.25,393.66,"2022,05,30,11:10:19"
74.5,394.66,"2022,05,30,11:10:20"
74.5,395.66,"2022,05,30,11:10:21"
75.25,396.66,"2022,05,30,11:10:22"
75.25,397.67,"2022,05,30,11:10:23"
75,398.67,"2022,05,30,11:10:24"
75.5,399.67,"2022,05,30,11:10:25"
75.75,400.67,"2022,05,30,11:10:26"
76,401.67,"2022,05,30,11:10:27"
75.5,402.67,"2022,05,30,11:10:28"
76.5,403.67,"2022,05,30,11:10:29"
76.5,404.68,"2022,05,30,11:10:30"
77,405.68,"2022,05,30,11:10:31"
76.75,406.68,"2022,05,30,11:10:32"
77.25,407.68,"2022,05,30,11:10:33"
76.75,408.68,"2022,05,30,11:10:34"
77.5,409.68,"2022,05,30,11:10:35"
77,410.69,"2022,05,30,11:10:36"
77.5,411.69,"2022,05,30,11:10:37"
78,412.69,"2022,05,30,11:10:38"
78,413.69,"2022,05,30,11:10:39"
78,414.69,"2022,05,30,11:10:40"
78.5,415.69,"2022,05,30,11:10:41"
78.25,416.7,"2022,05,30,11:10:42"
78,417.7,"2022,05,30,11:10:43"
78.25,418.7,"2022,05,30,11:10:44"
78.25,419.7,"2022,05,30,11:10:45"
78.5,420.7,"2022,05,30,11:10:46"
79.25,421.7,"2022,05,30,11:10:47"
79,422.7,"2022,05,30,11:10:48"
78.75,423.71,"2022,05,30,11:10:49"
79.25,424.71,"2022,05,30,11:10:50"
79.25,425.71,"2022,05,30,11:10:51"
79.25,426.71,"2022,05,30,11:10:52"
79.75,427.71,"2022,05,30,11:10:53"
79.75,428.71,"2022,05,30,11:10:54"
80,429.72,"2022,05,30,11:10:55"
80.5,430.72,"2022,05,30,11:10:56"
80,431.72,"2022,05,30,11:10:57"
80.25,432.72,"2022,05,30,11:10:58"
80.75,433.72,"2022,05,30,11:10:59"
80.5,434.73,"2022,05,30,11:11:00"
80.5,435.73,"2022,05,30,11:11:01"
81,436.73,"2022,05,30,11:11:02"
80.5,437.73,"2022,05,30,11:11:03"
80.75,438.73,"2022,05,30,11:11:04"
81,439.73,"2022,05,30,11:11:05"
81.5,440.73,"2022,05,30,11:11:06"
81.5,441.74,"2022,05,30,11:11:07"
80.75,442.74,"2022,05,30,11:11:08"
80.75,443.74,"2022,05,30,11:11:09"
81.75,444.74,"2022,05,30,11:11:10"
81.5,445.74,"2022,05,30,11:11:11"
81,446.75,"2022,05,30,11:11:12"
81.5,447.75,"2022,05,30,11:11:13"
81,448.75,"2022,05,30,11:11:14"
80.75,449.75,"2022,05,30,11:11:15"
81.75,450.75,"2022,05,30,11:11:16"
81.75,451.75,"2022,05,30,11:11:17"
81.25,452.75,"2022,05,30,11:11:18"
81.25,453.76,"2022,05,30,11:11:19"
81.5,454.76,"2022,05,30,11:11:20"
80.75,455.76,"2022,05,30,11:11:21"
81,456.76,"2022,05,30,11:11:22"
81,457.76,"2022,05,30,11:11:23"
80.25,458.76,"2022,05,30,11:11:24"
81,459.77,"2022,05,30,11:11:25"
80.25,460.77,"2022,05,30,11:11:26"
81,461.77,"2022,05,30,11:11:27"
80.75,462.77,"2022,05,30,11:11:28"
80,463.77,"2022,05,30,11:11:29"
80.75,464.77,"2022,05,30,11:11:30"
80,465.77,"2022,05,30,11:11:31"
80.25,466.78,"2022,05,30,11:11:32"
80.25,467.78,"2022,05,30,11:11:33"
80,468.78,"2022,05,30,11:11:34"
80.25,469.78,"2022,05,30,11:11:35"
79.5,470.78,"2022,05,30,11:11:36"
80,471.79,"2022,05,30,11:11:37"
79.5,472.79,"2022,05,30,11:11:38"
80.25,473.79,"2022,05,30,11:11:39"
79.75,474.79,"2022,05,30,11:11:40"
80.5,475.79,"2022,05,30,11:11:41"
80.25,476.79,"2022,05,30,11:11:42"
80,477.8,"2022,05,30,11:11:43"
79.75,478.8,"2022,05,30,11:11:44"
79.5,479.8,"2022,05,30,11:11:45"
80.25,480.8,"2022,05,30,11:11:46"
79.5,481.8,"2022,05,30,11:11:47"
79.5,482.8,"2022,05,30,11:11:48"
80,483.8,"2022,05,30,11:11:49"
80,484.81,"2022,05,30,11:11:50"
79.5,485.81,"2022,05,30,11:11:51"
79.75,486.81,"2022,05,30,11:11:52"
79.75,487.81,"2022,05,30,11:11:53"
80.25,488.81,"2022,05,30,11:11:54"
79.5,489.81,"2022,05,30,11:11:55"
80,490.82,"2022,05,30,11:11:56"
80.25,491.82,"2022,05,30,11:11:57"
79.5,492.82,"2022,05,30,11:11:58"
80.25,493.82,"2022,05,30,11:11:59"
80.25,494.82,"2022,05,30,11:12:00"
80.5,495.82,"2022,05,30,11:12:01"
80.5,496.83,"2022,05,30,11:12:02"
80.5,497.83,"2022,05,30,11:12:03"
79.75,498.83,"2022,05,30,11:12:04"
80.5,499.83,"2022,05,30,11:12:05"
80.5,500.83,"2022,05,30,11:12:06"
80,501.83,"2022,05,30,11:12:07"
80.75,502.83,"2022,05,30,11:12:08"
80.75,503.84,"2022,05,30,11:12:09"
80.75,504.84,"2022,05,30,11:12:10"
80,505.84,"2022,05,30,11:12:11"
80.75,506.84,"2022,05,30,11:12:12"
80.5,507.84,"2022,05,30,11:12:13"
80,508.85,"2022,05,30,11:12:14"
80.25,509.85,"2022,05,30,11:12:15"
80.75,510.85,"2022,05,30,11:12:16"
80,511.85,"2022,05,30,11:12:17"
80.75,512.85,"2022,05,30,11:12:18"
80.75,513.85,"2022,05,30,11:12:19"
80.5,514.85,"2022,05,30,11:12:20"
81,515.86,"2022,05,30,11:12:21"
80.75,516.86,"2022,05,30,11:12:22"
80,517.86,"2022,05,30,11:12:23"
80.75,518.86,"2022,05,30,11:12:24"
80,519.86,"2022,05,30,11:12:25"
80.25,520.86,"2022,05,30,11:12:26"
80.5,521.87,"2022,05,30,11:12:27"
80.75,522.87,"2022,05,30,11:12:28"
80.5,523.87,"2022,05,30,11:12:29"
81,524.87,"2022,05,30,11:12:30"
80.75,525.87,"2022,05,30,11:12:31"
80.5,526.87,"2022,05,30,11:12:32"
80.5,527.88,"2022,05,30,11:12:33"
80.75,528.88,"2022,05,30,11:12:34"
79.75,529.88,"2022,05,30,11:12:35"
