T,t
28.39527636940255,0.0
28.650140463625405,1.0
29.669596840516824,2.0
29.414732746293968,3.0
29.92446093473968,4.0
30.689053217408247,5.0
30.9439173116311,6.0
31.45364550007681,7.0
30.9439173116311,8.0
31.708509594299667,9.0
32.47310187696823,10.0
31.963373688522523,11.0
32.72796597119109,12.0
32.98283006541394,13.0
32.47310187696823,14.0
33.237694159636796,15.0
33.74742234808251,16.0
33.492558253859656,17.0
33.492558253859656,18.0
34.512014630751075,19.0
34.25715053652822,20.0
34.512014630751075,21.0
35.02174281919679,22.0
34.512014630751075,23.0
34.512014630751075,24.0
35.531471007642494,25.0
34.76687872497393,26.0
35.27660691341964,27.0
35.786335101865355,28.0
36.04119919608821,29.0
35.531471007642494,30.0
35.786335101865355,31.0
35.786335101865355,32.0
36.04119919608821,33.0
36.29606329031106,34.0
37.06065557297963,35.0
36.805791478756774,36.0
36.550927384533914,37.0
37.31551966720248,38.0
37.06065557297963,39.0
36.805791478756774,40.0
37.31551966720248,41.0
37.31551966720248,42.0
37.57038376142534,43.0
37.57038376142534,44.0
37.57038376142534,45.0
36.805791478756774,46.0
36.805791478756774,47.0
37.06065557297963,48.0
36.805791478756774,49.0
37.57038376142534,50.0
36.805791478756774,51.0
37.31551966720248,52.0
37.31551966720248,53.0
36.550927384533914,54.0
36.805791478756774,55.0
37.06065557297963,56.0
37.31551966720248,57.0
37.31551966720248,58.0
37.57038376142534,59.0
37.31551966720248,60.0
36.805791478756774,61.0
36.805791478756774,62.0
36.550927384533914,63.0
37.06065557297963,64.0
37.31551966720248,65.0
36.550927384533914,66.0
36.29606329031106,67.0
36.29606329031106,68.0
36.550927384533914,69.0
37.31551966720248,70.0
36.550927384533914,71.0
36.805791478756774,72.0
37.06065557297963,73.0
36.550927384533914,74.0
36.04119919608821,75.0
36.550927384533914,76.0
36.805791478756774,77.0
36.550927384533914,78.0
36.805791478756774,79.0
36.805791478756774,80.0
36.805791478756774,81.0
36.29606329031106,82.0
36.805791478756774,83.0
36.29606329031106,84.0
36.29606329031106,85.0
35.786335101865355,86.0
36.29606329031106,87.0
35.786335101865355,88.0
36.04119919608821,89.0
36.550927384533914,90.0
36.29606329031106,91.0
36.29606329031106,92.0
35.531471007642494,93.0
36.04119919608821,94.0
35.786335101865355,95.0
36.29606329031106,96.0
35.27660691341964,97.0
35.531471007642494,98.0
35.27660691341964,99.0
36.04119919608821,100.0
36.04119919608821,101.0
36.04119919608821,102.0
36.04119919608821,103.0
35.531471007642494,104.0
35.27660691341964,105.0
36.04119919608821,106.0
36.04119919608821,107.0
35.786335101865355,108.0
36.04119919608821,109.0
35.786335101865355,110.0
35.531471007642494,111.0
35.531471007642494,112.0
35.02174281919679,113.0
35.531471007642494,114.0
35.02174281919679,115.0
35.02174281919679,116.0
35.531471007642494,117.0
35.786335101865355,118.0
35.02174281919679,119.0
35.02174281919679,120.0
35.786335101865355,121.0
35.27660691341964,122.0
35.531471007642494,123.0
35.02174281919679,124.0
35.27660691341964,125.0
34.76687872497393,126.0
35.27660691341964,127.0
35.531471007642494,128.0
35.531471007642494,129.0
35.27660691341964,130.0
35.531471007642494,131.0
35.27660691341964,132.0
35.27660691341964,133.0
34.76687872497393,134.0
34.512014630751075,135.0
35.531471007642494,136.0
35.27660691341964,137.0
35.02174281919679,138.0
35.02174281919679,139.0
35.02174281919679,140.0
34.512014630751075,141.0
35.531471007642494,142.0
35.27660691341964,143.0
34.512014630751075,144.0
35.531471007642494,145.0
35.27660691341964,146.0
35.27660691341964,147.0
35.27660691341964,148.0
34.76687872497393,149.0
34.76687872497393,150.0
34.512014630751075,151.0
35.02174281919679,152.0
35.27660691341964,153.0
35.02174281919679,154.0
35.27660691341964,155.0
35.27660691341964,156.0
35.531471007642494,157.0
35.27660691341964,158.0
35.02174281919679,159.0
35.02174281919679,160.0
35.27660691341964,161.0
35.27660691341964,162.0
35.531471007642494,163.0
35.27660691341964,164.0
35.02174281919679,165.0
35.786335101865355,166.0
35.531471007642494,167.0
35.531471007642494,168.0
34.76687872497393,169.0
35.02174281919679,170.0
35.02174281919679,171.0
35.02174281919679,172.0
35.531471007642494,173.0
35.02174281919679,174.0
35.02174281919679,175.0
35.27660691341964,176.0
35.02174281919679,177.0
35.02174281919679,178.0
35.02174281919679,179.0
35.531471007642494,180.0
35.02174281919679,181.0
35.531471007642494,182.0
35.786335101865355,183.0
35.27660691341964,184.0
35.531471007642494,185.0
35.02174281919679,186.0
34.76687872497393,187.0
35.02174281919679,188.0
35.531471007642494,189.0
35.02174281919679,190.0
35.02174281919679,191.0
34.76687872497393,192.0
35.531471007642494,193.0
34.76687872497393,194.0
35.02174281919679,195.0
34.76687872497393,196.0
34.76687872497393,197.0
35.531471007642494,198.0
34.76687872497393,199.0
35.531471007642494,200.0
35.531471007642494,201.0
34.76687872497393,202.0
34.76687872497393,203.0
35.531471007642494,204.0
35.02174281919679,205.0
35.27660691341964,206.0
35.531471007642494,207.0
35.531471007642494,208.0
34.76687872497393,209.0
35.02174281919679,210.0
35.27660691341964,211.0
35.531471007642494,212.0
35.786335101865355,213.0
35.786335101865355,214.0
36.29606329031106,215.0
35.531471007642494,216.0
36.04119919608821,217.0
36.550927384533914,218.0
36.550927384533914,219.0
36.550927384533914,220.0
36.29606329031106,221.0
36.550927384533914,222.0
37.06065557297963,223.0
36.550927384533914,224.0
37.57038376142534,225.0
38.080111949871046,226.0
37.31551966720248,227.0
38.33497604409391,228.0
38.33497604409391,229.0
37.82524785564819,230.0
38.58984013831676,231.0
38.58984013831676,232.0
39.09956832676247,233.0
39.354432420985326,234.0
39.09956832676247,235.0
39.354432420985326,236.0
40.373888797876745,237.0
40.11902470365389,238.0
40.373888797876745,239.0
40.11902470365389,240.0
41.13848108054531,241.0
41.393345174768164,242.0
40.6287528920996,243.0
41.13848108054531,244.0
42.15793745743673,245.0
41.648209268991025,246.0
41.648209268991025,247.0
41.90307336321388,248.0
42.9225297401053,249.0
42.9225297401053,250.0
43.43225792855101,251.0
43.43225792855101,252.0
43.941986116996716,253.0
43.68712202277386,254.0
43.941986116996716,255.0
44.45171430544243,256.0
43.941986116996716,257.0
44.45171430544243,258.0
44.45171430544243,259.0
44.96144249388814,260.0
44.96144249388814,261.0
45.72603477655671,262.0
45.98089887077956,263.0
45.98089887077956,264.0
46.490627059225275,265.0
45.98089887077956,266.0
46.74549115344813,267.0
47.25521934189384,268.0
47.00035524767098,269.0
47.510083436116695,270.0
47.00035524767098,271.0
47.25521934189384,272.0
47.25521934189384,273.0
48.27467571878526,274.0
48.0198116245624,275.0
48.27467571878526,276.0
48.529539813008114,277.0
49.54899618989953,278.0
49.03926800145383,279.0
49.54899618989953,280.0
49.54899618989953,281.0
50.05872437834525,282.0
