"t","relay","T"
0,1,28.3952763694025
1,1,28.6501404636254
2,1,29.6695968405168
3,1,29.414732746294
4,1,29.9244609347397
5,1,30.6890532174082
6,1,30.9439173116311
7,1,31.4536455000768
8,1,30.9439173116311
9,1,31.7085095942997
10,1,32.4731018769682
11,1,31.9633736885225
12,1,32.7279659711911
13,1,32.9828300654139
14,1,32.4731018769682
15,1,33.2376941596368
16,1,33.7474223480825
17,1,33.4925582538597
18,1,33.4925582538597
19,1,34.5120146307511
20,1,34.2571505365282
21,1,34.5120146307511
22,1,35.0217428191968
23,1,34.5120146307511
24,0,34.5120146307511
25,1,35.5314710076425
26,1,34.7668787249739
27,0,35.2766069134196
28,0,35.7863351018654
29,0,36.0411991960882
30,0,35.5314710076425
31,0,35.7863351018654
32,0,35.7863351018654
33,0,36.0411991960882
34,0,36.2960632903111
35,0,37.0606555729796
36,0,36.8057914787568
37,0,36.5509273845339
38,0,37.3155196672025
39,0,37.0606555729796
40,0,36.8057914787568
41,0,37.3155196672025
42,0,37.3155196672025
43,0,37.5703837614253
44,0,37.5703837614253
45,0,37.5703837614253
46,0,36.8057914787568
47,0,36.8057914787568
48,0,37.0606555729796
49,0,36.8057914787568
50,0,37.5703837614253
51,0,36.8057914787568
52,0,37.3155196672025
53,0,37.3155196672025
54,0,36.5509273845339
55,0,36.8057914787568
56,0,37.0606555729796
57,0,37.3155196672025
58,0,37.3155196672025
59,0,37.5703837614253
60,0,37.3155196672025
61,0,36.8057914787568
62,0,36.8057914787568
63,0,36.5509273845339
64,0,37.0606555729796
65,0,37.3155196672025
66,0,36.5509273845339
67,0,36.2960632903111
68,0,36.2960632903111
69,0,36.5509273845339
70,0,37.3155196672025
71,0,36.5509273845339
72,0,36.8057914787568
73,0,37.0606555729796
74,0,36.5509273845339
75,0,36.0411991960882
76,0,36.5509273845339
77,0,36.8057914787568
78,0,36.5509273845339
79,0,36.8057914787568
80,0,36.8057914787568
81,0,36.8057914787568
82,0,36.2960632903111
83,0,36.8057914787568
84,0,36.2960632903111
85,0,36.2960632903111
86,0,35.7863351018654
87,0,36.2960632903111
88,0,35.7863351018654
89,0,36.0411991960882
90,0,36.5509273845339
91,0,36.2960632903111
92,0,36.2960632903111
93,0,35.5314710076425
94,0,36.0411991960882
95,0,35.7863351018654
96,0,36.2960632903111
97,0,35.2766069134196
98,0,35.5314710076425
99,0,35.2766069134196
100,0,36.0411991960882
101,0,36.0411991960882
102,0,36.0411991960882
103,0,36.0411991960882
104,0,35.5314710076425
105,0,35.2766069134196
106,0,36.0411991960882
107,0,36.0411991960882
108,0,35.7863351018654
109,0,36.0411991960882
110,0,35.7863351018654
111,0,35.5314710076425
112,0,35.5314710076425
113,0,35.0217428191968
114,0,35.5314710076425
115,0,35.0217428191968
116,0,35.0217428191968
117,0,35.5314710076425
118,0,35.7863351018654
119,0,35.0217428191968
120,0,35.0217428191968
121,0,35.7863351018654
122,0,35.2766069134196
123,0,35.5314710076425
124,0,35.0217428191968
125,0,35.2766069134196
126,0,34.7668787249739
127,0,35.2766069134196
128,0,35.5314710076425
129,0,35.5314710076425
130,0,35.2766069134196
