,"T",,"date"
,115.41,586.2,"2022,05,31,10:52:04"
,115.41,587.2,"2022,05,31,10:52:05"
,116.17,588.21,"2022,05,31,10:52:06"
,115.92,589.21,"2022,05,31,10:52:07"
,115.92,590.24,"2022,05,31,10:52:08"
,116.43,591.24,"2022,05,31,10:52:09"
,116.68,592.24,"2022,05,31,10:52:10"
,116.94,593.24,"2022,05,31,10:52:11"
,116.43,594.25,"2022,05,31,10:52:12"
,117.45,595.28,"2022,05,31,10:52:13"
,116.94,596.28,"2022,05,31,10:52:14"
,116.68,597.28,"2022,05,31,10:52:15"
,117.19,598.28,"2022,05,31,10:52:16"
,118.21,599.28,"2022,05,31,10:52:17"
,118.21,600.32,"2022,05,31,10:52:18"
,118.21,601.32,"2022,05,31,10:52:19"
,118.47,602.32,"2022,05,31,10:52:20"
,117.7,603.32,"2022,05,31,10:52:21"
,118.47,604.32,"2022,05,31,10:52:22"
,117.96,605.35,"2022,05,31,10:52:23"
,118.72,606.36,"2022,05,31,10:52:24"
,118.47,607.36,"2022,05,31,10:52:25"
,119.23,608.36,"2022,05,31,10:52:26"
,118.72,609.36,"2022,05,31,10:52:27"
,118.98,610.39,"2022,05,31,10:52:28"
,119.49,611.39,"2022,05,31,10:52:29"
,119.49,612.4,"2022,05,31,10:52:30"
,120,613.4,"2022,05,31,10:52:31"
,119.23,614.4,"2022,05,31,10:52:32"
,120,615.43,"2022,05,31,10:52:33"
,120.51,616.43,"2022,05,31,10:52:34"
,119.74,617.44,"2022,05,31,10:52:35"
,120,618.44,"2022,05,31,10:52:36"
,120.51,619.44,"2022,05,31,10:52:37"
,120,620.47,"2022,05,31,10:52:38"
,120.77,621.47,"2022,05,31,10:52:39"
,121.28,622.47,"2022,05,31,10:52:40"
,121.02,623.47,"2022,05,31,10:52:41"
,121.53,624.48,"2022,05,31,10:52:42"
,121.02,625.51,"2022,05,31,10:52:43"
,121.53,626.51,"2022,05,31,10:52:44"
,121.53,627.51,"2022,05,31,10:52:45"
,121.28,628.51,"2022,05,31,10:52:46"
,121.53,629.52,"2022,05,31,10:52:47"
,122.04,630.55,"2022,05,31,10:52:48"
,122.55,631.55,"2022,05,31,10:52:49"
,121.79,632.55,"2022,05,31,10:52:50"
,122.04,633.55,"2022,05,31,10:52:51"
,122.81,634.55,"2022,05,31,10:52:52"
,123.06,635.59,"2022,05,31,10:52:53"
,123.32,636.59,"2022,05,31,10:52:54"
,122.81,637.59,"2022,05,31,10:52:55"
,123.06,638.59,"2022,05,31,10:52:56"
,123.83,639.59,"2022,05,31,10:52:57"
,123.83,640.62,"2022,05,31,10:52:58"
,124.08,641.63,"2022,05,31,10:52:59"
,123.32,642.63,"2022,05,31,10:53:00"
,123.32,643.63,"2022,05,31,10:53:01"
,124.34,644.63,"2022,05,31,10:53:02"
,124.08,645.66,"2022,05,31,10:53:03"
,123.83,646.66,"2022,05,31,10:53:04"
,124.59,647.67,"2022,05,31,10:53:05"
,124.08,648.67,"2022,05,31,10:53:06"
,124.34,649.67,"2022,05,31,10:53:07"
,125.1,650.7,"2022,05,31,10:53:08"
,124.59,651.7,"2022,05,31,10:53:09"
,124.34,652.71,"2022,05,31,10:53:10"
,124.85,653.71,"2022,05,31,10:53:11"
,125.1,654.71,"2022,05,31,10:53:12"
,125.1,655.74,"2022,05,31,10:53:13"
,125.61,656.74,"2022,05,31,10:53:14"
,125.61,657.74,"2022,05,31,10:53:15"
,125.36,658.75,"2022,05,31,10:53:16"
,125.87,659.75,"2022,05,31,10:53:17"
,126.12,660.78,"2022,05,31,10:53:18"
,126.12,661.78,"2022,05,31,10:53:19"
,125.61,662.78,"2022,05,31,10:53:20"
,126.38,663.78,"2022,05,31,10:53:21"
,126.63,664.78,"2022,05,31,10:53:22"
,126.63,665.82,"2022,05,31,10:53:23"
,126.89,666.82,"2022,05,31,10:53:25"
,126.38,667.82,"2022,05,31,10:53:25"
,126.89,668.82,"2022,05,31,10:53:27"
,126.63,669.82,"2022,05,31,10:53:28"
,127.14,670.85,"2022,05,31,10:53:29"
,127.4,671.86,"2022,05,31,10:53:30"
,127.14,672.86,"2022,05,31,10:53:31"
,127.14,673.86,"2022,05,31,10:53:32"
,126.89,674.86,"2022,05,31,10:53:33"
,127.4,675.89,"2022,05,31,10:53:34"
,128.16,676.9,"2022,05,31,10:53:35"
,127.91,677.9,"2022,05,31,10:53:36"
,128.16,678.9,"2022,05,31,10:53:37"
,128.16,679.9,"2022,05,31,10:53:38"
,127.4,680.93,"2022,05,31,10:53:39"
,128.16,681.94,"2022,05,31,10:53:40"
,127.91,682.94,"2022,05,31,10:53:41"
,127.65,683.94,"2022,05,31,10:53:42"
,127.65,684.94,"2022,05,31,10:53:43"
,127.65,685.97,"2022,05,31,10:53:44"
,127.4,686.97,"2022,05,31,10:53:45"
,127.4,687.97,"2022,05,31,10:53:46"
,127.4,688.98,"2022,05,31,10:53:47"
,127.91,689.98,"2022,05,31,10:53:48"
,127.65,691.01,"2022,05,31,10:53:49"
,127.4,692.01,"2022,05,31,10:53:50"
,127.65,693.01,"2022,05,31,10:53:51"
,127.14,694.02,"2022,05,31,10:53:52"
,127.91,695.02,"2022,05,31,10:53:53"
,127.91,696.05,"2022,05,31,10:53:54"
,127.4,697.05,"2022,05,31,10:53:55"
,127.14,698.05,"2022,05,31,10:53:56"
,127.65,699.05,"2022,05,31,10:53:57"
,127.91,700.06,"2022,05,31,10:53:58"
,127.91,701.09,"2022,05,31,10:53:59"
,126.89,702.09,"2022,05,31,10:54:00"
,126.63,703.09,"2022,05,31,10:54:01"
,126.63,704.09,"2022,05,31,10:54:02"
,127.4,705.09,"2022,05,31,10:54:03"
,126.38,706.13,"2022,05,31,10:54:04"
,126.63,707.13,"2022,05,31,10:54:05"
,126.89,708.13,"2022,05,31,10:54:06"
,126.89,709.13,"2022,05,31,10:54:07"
,126.63,710.13,"2022,05,31,10:54:08"
,126.63,711.16,"2022,05,31,10:54:09"
,125.87,712.17,"2022,05,31,10:54:10"
,125.61,713.17,"2022,05,31,10:54:11"
,126.63,714.17,"2022,05,31,10:54:12"
,125.87,715.17,"2022,05,31,10:54:13"
,125.61,716.2,"2022,05,31,10:54:14"
,125.61,717.21,"2022,05,31,10:54:15"
,125.61,718.21,"2022,05,31,10:54:16"
,125.36,719.21,"2022,05,31,10:54:17"
,125.87,720.21,"2022,05,31,10:54:18"
,125.87,721.24,"2022,05,31,10:54:19"
,125.36,722.24,"2022,05,31,10:54:20"
,125.61,723.25,"2022,05,31,10:54:21"
,125.61,724.25,"2022,05,31,10:54:22"
,124.85,725.25,"2022,05,31,10:54:23"
,124.59,726.28,"2022,05,31,10:54:24"
,124.59,727.28,"2022,05,31,10:54:25"
,125.1,728.28,"2022,05,31,10:54:26"
,124.59,729.28,"2022,05,31,10:54:27"
,124.34,730.29,"2022,05,31,10:54:28"
,125.1,731.32,"2022,05,31,10:54:29"
,125.36,732.32,"2022,05,31,10:54:30"
,124.85,733.32,"2022,05,31,10:54:31"
,123.83,734.32,"2022,05,31,10:54:32"
,124.08,735.33,"2022,05,31,10:54:33"
,124.59,736.36,"2022,05,31,10:54:34"
,124.59,737.36,"2022,05,31,10:54:35"
,124.34,738.36,"2022,05,31,10:54:36"
,123.83,739.36,"2022,05,31,10:54:37"
,123.57,740.36,"2022,05,31,10:54:38"
,124.08,741.4,"2022,05,31,10:54:39"
,124.34,742.4,"2022,05,31,10:54:40"
,123.32,743.4,"2022,05,31,10:54:41"
,123.06,744.4,"2022,05,31,10:54:42"
,123.32,745.4,"2022,05,31,10:54:43"
,123.83,746.44,"2022,05,31,10:54:44"
,123.32,747.44,"2022,05,31,10:54:45"
,123.32,748.44,"2022,05,31,10:54:46"
,123.57,749.44,"2022,05,31,10:54:47"
,123.57,750.44,"2022,05,31,10:54:48"
,122.81,751.47,"2022,05,31,10:54:49"
,123.32,752.47,"2022,05,31,10:54:50"
,122.81,753.48,"2022,05,31,10:54:51"
,122.81,754.48,"2022,05,31,10:54:52"
,123.06,755.48,"2022,05,31,10:54:53"
,123.57,756.51,"2022,05,31,10:54:54"
,123.57,757.51,"2022,05,31,10:54:55"
,123.57,758.52,"2022,05,31,10:54:56"
,123.32,759.52,"2022,05,31,10:54:57"
,123.57,760.52,"2022,05,31,10:54:58"
,122.55,761.55,"2022,05,31,10:54:59"
,122.81,762.55,"2022,05,31,10:55:00"
,122.81,763.55,"2022,05,31,10:55:01"
,122.81,764.56,"2022,05,31,10:55:02"
,123.32,765.56,"2022,05,31,10:55:03"
,122.81,766.59,"2022,05,31,10:55:04"
,123.57,767.59,"2022,05,31,10:55:05"
,122.55,768.59,"2022,05,31,10:55:06"
,123.32,769.59,"2022,05,31,10:55:07"
,123.06,770.6,"2022,05,31,10:55:08"
,123.32,771.63,"2022,05,31,10:55:09"
,122.55,772.63,"2022,05,31,10:55:10"
,123.32,773.63,"2022,05,31,10:55:11"
,123.32,774.63,"2022,05,31,10:55:12"
,122.81,775.64,"2022,05,31,10:55:13"
,122.55,776.67,"2022,05,31,10:55:14"
,123.06,777.67,"2022,05,31,10:55:15"
,122.3,778.67,"2022,05,31,10:55:16"
,122.3,779.67,"2022,05,31,10:55:17"
,122.3,780.67,"2022,05,31,10:55:18"
,122.55,781.71,"2022,05,31,10:55:19"
,123.32,782.71,"2022,05,31,10:55:20"
,122.55,783.71,"2022,05,31,10:55:21"
,123.06,784.71,"2022,05,31,10:55:22"
,122.81,785.71,"2022,05,31,10:55:23"
,122.04,786.75,"2022,05,31,10:55:24"
,122.81,787.75,"2022,05,31,10:55:25"
,122.04,788.75,"2022,05,31,10:55:26"
,122.3,789.75,"2022,05,31,10:55:27"
,122.04,790.75,"2022,05,31,10:55:28"
,122.3,791.78,"2022,05,31,10:55:29"
,122.81,792.78,"2022,05,31,10:55:30"
,122.3,793.79,"2022,05,31,10:55:31"
,122.3,794.79,"2022,05,31,10:55:32"
,122.3,795.79,"2022,05,31,10:55:33"
,122.81,796.82,"2022,05,31,10:55:34"
,122.81,797.83,"2022,05,31,10:55:35"
,122.3,798.84,"2022,05,31,10:55:36"
,122.81,799.84,"2022,05,31,10:55:37"
,122.81,800.84,"2022,05,31,10:55:38"
,122.81,801.88,"2022,05,31,10:55:39"
,122.04,802.88,"2022,05,31,10:55:40"
,122.3,803.88,"2022,05,31,10:55:41"
,122.3,804.88,"2022,05,31,10:55:42"
,122.81,805.88,"2022,05,31,10:55:43"
,121.79,806.91,"2022,05,31,10:55:45"
,123.06,807.92,"2022,05,31,10:55:46"
,122.81,808.92,"2022,05,31,10:55:47"
,122.04,809.92,"2022,05,31,10:55:48"
,122.3,810.92,"2022,05,31,10:55:49"
,122.3,811.95,"2022,05,31,10:55:50"
,122.04,812.95,"2022,05,31,10:55:51"
,122.55,813.96,"2022,05,31,10:55:52"
,122.55,814.96,"2022,05,31,10:55:53"
,122.3,815.96,"2022,05,31,10:55:54"
,123.06,816.99,"2022,05,31,10:55:55"
,122.3,817.99,"2022,05,31,10:55:56"
,122.81,818.99,"2022,05,31,10:55:57"
,122.04,820,"2022,05,31,10:55:58"
,123.32,821,"2022,05,31,10:55:59"
,123.32,822.03,"2022,05,31,10:56:00"
,123.06,823.03,"2022,05,31,10:56:01"
,122.55,824.03,"2022,05,31,10:56:02"
,123.32,825.03,"2022,05,31,10:56:03"
,122.81,826.04,"2022,05,31,10:56:04"
,123.06,827.07,"2022,05,31,10:56:05"
,123.32,828.07,"2022,05,31,10:56:06"
,123.83,829.07,"2022,05,31,10:56:07"
,123.83,830.07,"2022,05,31,10:56:08"
,123.83,831.08,"2022,05,31,10:56:09"
,123.57,832.11,"2022,05,31,10:56:10"
,123.57,833.11,"2022,05,31,10:56:11"
,124.34,834.11,"2022,05,31,10:56:12"
,124.59,835.11,"2022,05,31,10:56:13"
,124.85,836.11,"2022,05,31,10:56:14"
,125.1,837.15,"2022,05,31,10:56:15"
,125.1,838.15,"2022,05,31,10:56:16"
,125.36,839.15,"2022,05,31,10:56:17"
,124.59,840.15,"2022,05,31,10:56:18"
,125.1,841.15,"2022,05,31,10:56:19"
,125.36,842.18,"2022,05,31,10:56:20"
,125.1,843.18,"2022,05,31,10:56:21"
,125.87,844.19,"2022,05,31,10:56:22"
,126.12,845.19,"2022,05,31,10:56:23"
,125.61,846.19,"2022,05,31,10:56:24"
,126.38,847.22,"2022,05,31,10:56:25"
,126.38,848.22,"2022,05,31,10:56:26"
,126.38,849.22,"2022,05,31,10:56:27"
,127.14,850.23,"2022,05,31,10:56:28"
,126.89,851.23,"2022,05,31,10:56:29"
,126.63,852.26,"2022,05,31,10:56:30"
,127.4,853.26,"2022,05,31,10:56:31"
,127.4,854.26,"2022,05,31,10:56:32"
,127.65,855.26,"2022,05,31,10:56:33"
,127.4,856.27,"2022,05,31,10:56:34"
,127.91,857.3,"2022,05,31,10:56:35"
,127.4,858.3,"2022,05,31,10:56:36"
,128.16,859.3,"2022,05,31,10:56:37"
,127.91,860.3,"2022,05,31,10:56:38"
,128.16,861.3,"2022,05,31,10:56:39"
,128.16,862.34,"2022,05,31,10:56:40"
,128.42,863.34,"2022,05,31,10:56:41"
,128.93,864.34,"2022,05,31,10:56:42"
,129.69,865.34,"2022,05,31,10:56:43"
,129.18,866.34,"2022,05,31,10:56:44"
,129.95,867.38,"2022,05,31,10:56:45"
,130.2,868.38,"2022,05,31,10:56:46"
,129.69,869.38,"2022,05,31,10:56:47"
,129.44,870.38,"2022,05,31,10:56:48"
,130.46,871.38,"2022,05,31,10:56:49"
,130.71,872.41,"2022,05,31,10:56:50"
,129.95,873.41,"2022,05,31,10:56:51"
,130.97,874.42,"2022,05,31,10:56:52"
,130.71,875.42,"2022,05,31,10:56:53"
,130.46,876.42,"2022,05,31,10:56:54"
,131.48,877.45,"2022,05,31,10:56:55"
,130.46,878.45,"2022,05,31,10:56:56"
,130.71,879.46,"2022,05,31,10:56:57"
,131.99,880.46,"2022,05,31,10:56:58"
,131.99,881.46,"2022,05,31,10:56:59"
,131.99,882.49,"2022,05,31,10:57:00"
,132.5,883.49,"2022,05,31,10:57:01"
,131.48,884.49,"2022,05,31,10:57:02"
,131.73,885.5,"2022,05,31,10:57:03"
,132.5,886.5,"2022,05,31,10:57:04"
,131.99,887.53,"2022,05,31,10:57:05"
,132.76,888.53,"2022,05,31,10:57:06"
,133.27,889.53,"2022,05,31,10:57:07"
,132.5,890.53,"2022,05,31,10:57:08"
,132.76,891.54,"2022,05,31,10:57:09"
,132.5,892.57,"2022,05,31,10:57:10"
,133.78,893.57,"2022,05,31,10:57:11"
,133.52,894.57,"2022,05,31,10:57:12"
,133.27,895.57,"2022,05,31,10:57:13"
,133.27,896.57,"2022,05,31,10:57:14"
,133.78,897.61,"2022,05,31,10:57:15"
,134.29,898.61,"2022,05,31,10:57:16"
,134.8,899.61,"2022,05,31,10:57:17"
,134.8,900.61,"2022,05,31,10:57:18"
,134.03,901.61,"2022,05,31,10:57:19"
,135.05,902.64,"2022,05,31,10:57:20"
,135.31,903.65,"2022,05,31,10:57:21"
,134.8,904.65,"2022,05,31,10:57:22"
,134.8,905.65,"2022,05,31,10:57:23"
,134.8,906.65,"2022,05,31,10:57:24"
,135.56,907.68,"2022,05,31,10:57:25"
,135.56,908.69,"2022,05,31,10:57:26"
,135.82,909.69,"2022,05,31,10:57:27"
,136.07,910.69,"2022,05,31,10:57:28"
,136.33,911.69,"2022,05,31,10:57:29"
,135.82,912.72,"2022,05,31,10:57:30"
,136.58,913.72,"2022,05,31,10:57:31"
,136.33,914.72,"2022,05,31,10:57:32"
,136.84,915.73,"2022,05,31,10:57:33"
,137.09,916.73,"2022,05,31,10:57:34"
,136.33,917.76,"2022,05,31,10:57:35"
,137.09,918.76,"2022,05,31,10:57:36"
,136.58,919.76,"2022,05,31,10:57:37"
,136.84,920.77,"2022,05,31,10:57:38"
,136.84,921.77,"2022,05,31,10:57:39"
,137.6,922.8,"2022,05,31,10:57:40"
,137.86,923.8,"2022,05,31,10:57:41"
,137.35,924.8,"2022,05,31,10:57:42"
,137.6,925.8,"2022,05,31,10:57:43"
,138.37,926.8,"2022,05,31,10:57:44"
,138.37,927.84,"2022,05,31,10:57:45"
,138.62,928.84,"2022,05,31,10:57:46"
,138.11,929.84,"2022,05,31,10:57:47"
,138.62,930.84,"2022,05,31,10:57:48"
,138.88,931.84,"2022,05,31,10:57:49"
,139.39,932.87,"2022,05,31,10:57:50"
,138.37,933.88,"2022,05,31,10:57:51"
,138.62,934.88,"2022,05,31,10:57:52"
,138.62,935.88,"2022,05,31,10:57:53"
,139.64,936.88,"2022,05,31,10:57:54"
,139.13,937.91,"2022,05,31,10:57:55"
,139.9,938.91,"2022,05,31,10:57:56"
,139.13,939.92,"2022,05,31,10:57:57"
,139.39,940.92,"2022,05,31,10:57:58"
,140.41,941.92,"2022,05,31,10:57:59"
,139.9,942.95,"2022,05,31,10:58:00"
,140.66,943.95,"2022,05,31,10:58:01"
,140.41,944.96,"2022,05,31,10:58:02"
,140.92,945.96,"2022,05,31,10:58:03"
,141.17,946.96,"2022,05,31,10:58:04"
,140.92,947.99,"2022,05,31,10:58:05"
,141.17,948.99,"2022,05,31,10:58:07"
,140.66,949.99,"2022,05,31,10:58:07"
,141.68,950.99,"2022,05,31,10:58:08"
,141.68,952,"2022,05,31,10:58:10"
,140.92,953.03,"2022,05,31,10:58:11"
,141.43,954.03,"2022,05,31,10:58:12"
,141.94,955.03,"2022,05,31,10:58:13"
,141.94,956.03,"2022,05,31,10:58:14"
,142.45,957.03,"2022,05,31,10:58:15"
,141.94,958.07,"2022,05,31,10:58:16"
,142.45,959.07,"2022,05,31,10:58:17"
,142.45,960.07,"2022,05,31,10:58:18"
,142.96,961.07,"2022,05,31,10:58:19"
,142.19,962.07,"2022,05,31,10:58:20"
,142.19,963.1,"2022,05,31,10:58:21"
,142.96,964.11,"2022,05,31,10:58:22"
,143.21,965.11,"2022,05,31,10:58:23"
,142.96,966.11,"2022,05,31,10:58:24"
,142.96,967.11,"2022,05,31,10:58:25"
,143.21,968.14,"2022,05,31,10:58:26"
,143.47,969.15,"2022,05,31,10:58:27"
,143.47,970.15,"2022,05,31,10:58:28"
,143.47,971.15,"2022,05,31,10:58:29"
,144.23,972.15,"2022,05,31,10:58:30"
,143.72,973.18,"2022,05,31,10:58:31"
,144.49,974.18,"2022,05,31,10:58:32"
,144.74,975.19,"2022,05,31,10:58:33"
,144.74,976.19,"2022,05,31,10:58:34"
,144.74,977.19,"2022,05,31,10:58:35"
,144.74,978.22,"2022,05,31,10:58:36"
,145.26,979.22,"2022,05,31,10:58:37"
,145.26,980.22,"2022,05,31,10:58:38"
,145.51,981.22,"2022,05,31,10:58:39"
,145,982.23,"2022,05,31,10:58:40"
,146.02,983.26,"2022,05,31,10:58:41"
,145.26,984.26,"2022,05,31,10:58:42"
,145.51,985.26,"2022,05,31,10:58:43"
,145.51,986.26,"2022,05,31,10:58:44"
,146.28,987.27,"2022,05,31,10:58:45"
,145.77,988.3,"2022,05,31,10:58:46"
,146.53,989.3,"2022,05,31,10:58:47"
,146.28,990.3,"2022,05,31,10:58:48"
,146.02,991.3,"2022,05,31,10:58:49"
,146.02,992.3,"2022,05,31,10:58:50"
,147.04,993.34,"2022,05,31,10:58:51"
,147.3,994.34,"2022,05,31,10:58:52"
,146.79,995.34,"2022,05,31,10:58:53"
,147.3,996.34,"2022,05,31,10:58:54"
,146.79,997.34,"2022,05,31,10:58:55"
,147.55,998.37,"2022,05,31,10:58:56"
,147.3,999.38,"2022,05,31,10:58:57"
,147.04,1000.38,"2022,05,31,10:58:58"
,147.81,1001.38,"2022,05,31,10:58:59"
,147.81,1002.38,"2022,05,31,10:59:00"
,147.81,1003.41,"2022,05,31,10:59:01"
,147.81,1004.41,"2022,05,31,10:59:02"
,147.81,1005.42,"2022,05,31,10:59:03"
,148.32,1006.42,"2022,05,31,10:59:04"
,147.81,1007.42,"2022,05,31,10:59:05"
,148.06,1008.45,"2022,05,31,10:59:06"
,148.83,1009.45,"2022,05,31,10:59:07"
,148.32,1010.46,"2022,05,31,10:59:08"
,149.34,1011.46,"2022,05,31,10:59:09"
,149.08,1012.46,"2022,05,31,10:59:10"
,149.08,1013.49,"2022,05,31,10:59:11"
,149.59,1014.49,"2022,05,31,10:59:12"
,149.08,1015.5,"2022,05,31,10:59:13"
,149.85,1016.5,"2022,05,31,10:59:14"
,149.08,1017.5,"2022,05,31,10:59:15"
,149.08,1018.53,"2022,05,31,10:59:16"
,149.85,1019.53,"2022,05,31,10:59:17"
,150.36,1020.54,"2022,05,31,10:59:18"
,149.59,1021.54,"2022,05,31,10:59:19"
,149.85,1022.54,"2022,05,31,10:59:20"
,149.85,1023.57,"2022,05,31,10:59:21"
,150.36,1024.57,"2022,05,31,10:59:22"
,149.85,1025.57,"2022,05,31,10:59:23"
,150.1,1026.58,"2022,05,31,10:59:24"
,150.61,1027.58,"2022,05,31,10:59:25"
,150.87,1028.61,"2022,05,31,10:59:26"
,151.12,1029.61,"2022,05,31,10:59:27"
,150.61,1030.61,"2022,05,31,10:59:28"
,151.12,1031.62,"2022,05,31,10:59:29"
,150.87,1032.62,"2022,05,31,10:59:30"
,150.87,1033.65,"2022,05,31,10:59:31"
,151.38,1034.65,"2022,05,31,10:59:32"
,151.63,1035.65,"2022,05,31,10:59:33"
,151.63,1036.66,"2022,05,31,10:59:34"
,152.4,1037.66,"2022,05,31,10:59:35"
,152.4,1038.69,"2022,05,31,10:59:36"
,152.4,1039.69,"2022,05,31,10:59:37"
,152.14,1040.69,"2022,05,31,10:59:38"
,151.89,1041.7,"2022,05,31,10:59:39"
,152.4,1042.7,"2022,05,31,10:59:40"
,152.91,1043.73,"2022,05,31,10:59:41"
,152.65,1044.73,"2022,05,31,10:59:42"
,153.42,1045.73,"2022,05,31,10:59:43"
,152.91,1046.73,"2022,05,31,10:59:44"
,153.42,1047.74,"2022,05,31,10:59:45"
,152.91,1048.77,"2022,05,31,10:59:46"
,153.42,1049.77,"2022,05,31,10:59:47"
,153.16,1050.77,"2022,05,31,10:59:48"
,153.67,1051.78,"2022,05,31,10:59:49"
,153.93,1052.78,"2022,05,31,10:59:50"
,154.44,1053.81,"2022,05,31,10:59:51"
,153.67,1054.81,"2022,05,31,10:59:52"
,154.69,1055.81,"2022,05,31,10:59:53"
,154.44,1056.81,"2022,05,31,10:59:54"
,154.95,1057.82,"2022,05,31,10:59:55"
,154.18,1058.85,"2022,05,31,10:59:56"
,155.2,1059.85,"2022,05,31,10:59:57"
,154.69,1060.85,"2022,05,31,10:59:58"
,154.69,1061.85,"2022,05,31,10:59:59"
,155.46,1062.86,"2022,05,31,11:00:00"
,155.2,1063.89,"2022,05,31,11:00:01"
,155.2,1064.89,"2022,05,31,11:00:02"
,155.71,1065.89,"2022,05,31,11:00:03"
,155.46,1066.9,"2022,05,31,11:00:04"
,155.97,1067.9,"2022,05,31,11:00:05"
,155.71,1068.93,"2022,05,31,11:00:06"
,155.46,1069.93,"2022,05,31,11:00:07"
,156.22,1070.93,"2022,05,31,11:00:08"
,156.22,1071.93,"2022,05,31,11:00:09"
,155.71,1072.94,"2022,05,31,11:00:10"
,156.48,1073.97,"2022,05,31,11:00:11"
,156.48,1074.97,"2022,05,31,11:00:12"
,155.97,1075.97,"2022,05,31,11:00:13"
,156.48,1076.97,"2022,05,31,11:00:14"
,156.99,1077.97,"2022,05,31,11:00:15"
,156.99,1079.01,"2022,05,31,11:00:16"
,156.73,1080.01,"2022,05,31,11:00:17"
,156.99,1081.01,"2022,05,31,11:00:18"
,156.99,1082.01,"2022,05,31,11:00:19"
,157.24,1083.01,"2022,05,31,11:00:20"
,157.24,1084.05,"2022,05,31,11:00:21"
,157.24,1085.05,"2022,05,31,11:00:22"
,157.76,1086.05,"2022,05,31,11:00:23"
,158.27,1087.05,"2022,05,31,11:00:24"
,157.24,1088.05,"2022,05,31,11:00:25"
,157.24,1089.09,"2022,05,31,11:00:27"
,157.76,1090.09,"2022,05,31,11:00:28"
,157.76,1091.09,"2022,05,31,11:00:29"
,157.76,1092.09,"2022,05,31,11:00:30"
,158.52,1093.09,"2022,05,31,11:00:31"
,158.27,1094.13,"2022,05,31,11:00:32"
,158.78,1095.13,"2022,05,31,11:00:33"
,159.29,1096.13,"2022,05,31,11:00:34"
,159.03,1097.13,"2022,05,31,11:00:35"
,159.29,1098.13,"2022,05,31,11:00:36"
,159.54,1099.17,"2022,05,31,11:00:37"
,159.29,1100.17,"2022,05,31,11:00:38"
,159.03,1101.17,"2022,05,31,11:00:39"
,159.54,1102.17,"2022,05,31,11:00:40"
,159.29,1103.17,"2022,05,31,11:00:41"
,159.8,1104.21,"2022,05,31,11:00:42"
,160.05,1105.21,"2022,05,31,11:00:43"
,159.54,1106.21,"2022,05,31,11:00:44"
,159.8,1107.21,"2022,05,31,11:00:45"
,159.8,1108.21,"2022,05,31,11:00:46"
,159.8,1109.25,"2022,05,31,11:00:47"
,159.8,1110.25,"2022,05,31,11:00:48"
,159.8,1111.25,"2022,05,31,11:00:49"
,160.56,1112.25,"2022,05,31,11:00:50"
,160.31,1113.25,"2022,05,31,11:00:51"
,160.82,1114.29,"2022,05,31,11:00:52"
,160.31,1115.29,"2022,05,31,11:00:53"
,160.56,1116.29,"2022,05,31,11:00:54"
,161.33,1117.29,"2022,05,31,11:00:55"
,160.82,1118.29,"2022,05,31,11:00:56"
,161.07,1119.32,"2022,05,31,11:00:57"
,161.07,1120.33,"2022,05,31,11:00:58"
,162.09,1121.33,"2022,05,31,11:00:59"
,161.33,1122.33,"2022,05,31,11:01:00"
,161.58,1123.33,"2022,05,31,11:01:01"
,162.09,1124.37,"2022,05,31,11:01:02"
,162.09,1125.37,"2022,05,31,11:01:03"
,161.84,1126.37,"2022,05,31,11:01:04"
,161.84,1127.37,"2022,05,31,11:01:05"
,162.09,1128.37,"2022,05,31,11:01:06"
,162.6,1129.41,"2022,05,31,11:01:07"
,162.35,1130.41,"2022,05,31,11:01:08"
,162.6,1131.41,"2022,05,31,11:01:09"
,162.86,1132.41,"2022,05,31,11:01:10"
,162.6,1133.41,"2022,05,31,11:01:11"
,163.37,1134.44,"2022,05,31,11:01:12"
,162.6,1135.45,"2022,05,31,11:01:13"
,162.86,1136.45,"2022,05,31,11:01:14"
,162.86,1137.45,"2022,05,31,11:01:15"
,163.62,1138.45,"2022,05,31,11:01:16"
,163.37,1139.48,"2022,05,31,11:01:17"
,163.37,1140.49,"2022,05,31,11:01:18"
,162.86,1141.49,"2022,05,31,11:01:19"
,163.37,1142.49,"2022,05,31,11:01:20"
,164.13,1143.49,"2022,05,31,11:01:21"
,163.37,1144.53,"2022,05,31,11:01:22"
,164.13,1145.53,"2022,05,31,11:01:23"
,163.88,1146.53,"2022,05,31,11:01:24"
,164.9,1147.53,"2022,05,31,11:01:25"
,163.88,1148.53,"2022,05,31,11:01:26"
,164.13,1149.56,"2022,05,31,11:01:27"
,164.9,1150.57,"2022,05,31,11:01:28"
,164.39,1151.57,"2022,05,31,11:01:29"
,165.41,1152.57,"2022,05,31,11:01:30"
,164.64,1153.57,"2022,05,31,11:01:31"
,165.15,1154.6,"2022,05,31,11:01:32"
,164.9,1155.61,"2022,05,31,11:01:33"
,165.41,1156.61,"2022,05,31,11:01:34"
,165.41,1157.61,"2022,05,31,11:01:35"
,164.9,1158.61,"2022,05,31,11:01:36"
,164.9,1159.64,"2022,05,31,11:01:37"
,165.41,1160.65,"2022,05,31,11:01:38"
,165.92,1161.65,"2022,05,31,11:01:39"
,165.41,1162.65,"2022,05,31,11:01:40"
,166.17,1163.65,"2022,05,31,11:01:41"
,166.17,1164.68,"2022,05,31,11:01:42"
,165.92,1165.69,"2022,05,31,11:01:43"
