"T","t","relay"
35.0217428191968,205,1
35.2766069134196,206,1
35.5314710076425,207,1
35.5314710076425,208,1
34.7668787249739,209,1
35.0217428191968,210,1
35.2766069134196,211,1
35.5314710076425,212,1
35.7863351018654,213,1
35.7863351018654,214,1
36.2960632903111,215,1
35.5314710076425,216,1
36.0411991960882,217,1
36.5509273845339,218,1
36.5509273845339,219,1
36.5509273845339,220,1
36.2960632903111,221,1
36.5509273845339,222,1
37.0606555729796,223,1
36.5509273845339,224,1
37.5703837614253,225,1
38.080111949871,226,1
37.3155196672025,227,1
38.3349760440939,228,1
38.3349760440939,229,1
37.8252478556482,230,1
38.5898401383168,231,1
38.5898401383168,232,1
39.0995683267625,233,1
39.3544324209853,234,1
39.0995683267625,235,1
39.3544324209853,236,1
40.3738887978768,237,1
40.1190247036539,238,1
40.3738887978768,239,1
40.1190247036539,240,1
41.1384810805453,241,1
41.3933451747682,242,1
40.6287528920996,243,1
41.1384810805453,244,1
42.1579374574367,245,1
41.648209268991,246,1
41.648209268991,247,1
41.9030733632139,248,1
42.9225297401053,249,1
42.9225297401053,250,1
43.432257928551,251,1
43.432257928551,252,1
43.9419861169967,253,1
43.6871220227739,254,1
43.9419861169967,255,1
44.4517143054424,256,1
43.9419861169967,257,1
44.4517143054424,258,1
44.4517143054424,259,1
44.9614424938881,260,1
44.9614424938881,261,1
45.7260347765567,262,1
45.9808988707796,263,1
45.9808988707796,264,1
46.4906270592253,265,1
45.9808988707796,266,1
46.7454911534481,267,1
47.2552193418938,268,1
47.000355247671,269,1
47.5100834361167,270,1
47.000355247671,271,1
47.2552193418938,272,1
47.2552193418938,273,1
48.2746757187853,274,1
48.0198116245624,275,1
48.2746757187853,276,1
48.5295398130081,277,1
49.5489961898995,278,1
49.0392680014538,279,1
49.5489961898995,280,1
49.5489961898995,281,1
50.0587243783452,282,1
50.568452566791,283,1
50.0587243783452,284,1
50.3135884725681,285,1
51.0781807552367,286,1
51.3330448494595,287,1
51.3330448494595,288,1
51.8427730379052,289,1
51.5879089436824,290,1
51.3330448494595,291,1
51.8427730379052,292,1
52.352501226351,293,1
52.8622294147967,294,1
52.352501226351,295,1
52.352501226351,296,1
53.1170935090195,297,1
52.6073653205738,298,1
53.6268216974652,299,1
53.1170935090195,300,1
54.1365498859109,301,1
54.1365498859109,302,1
54.3914139801338,303,1
54.3914139801338,304,1
54.1365498859109,305,1
54.9011421685795,306,1
54.3914139801338,307,1
55.1560062628024,308,1
55.6657344512481,309,1
54.9011421685795,310,1
55.4108703570252,311,1
55.6657344512481,312,1
56.1754626396938,313,1
56.4303267339166,314,1
56.6851908281395,315,1
56.9400549223623,316,1
56.9400549223623,317,1
56.6851908281395,318,1
57.4497831108081,319,1
57.4497831108081,320,1
57.7046472050309,321,1
57.9595112992538,322,1
58.2143753934766,323,1
57.9595112992538,324,1
58.4692394876995,325,1
58.4692394876995,326,1
58.7241035819223,327,1
58.2143753934766,328,1
58.9789676761452,329,1
58.7241035819223,330,1
58.9789676761452,331,1
59.7435599588138,332,1
59.7435599588138,333,1
59.7435599588138,334,1
60.2532881472595,335,1
59.7435599588138,336,1
59.9984240530366,337,1
61.017880429928,338,1
61.017880429928,339,1
60.7630163357052,340,1
61.5276086183737,341,1
60.7630163357052,342,1
61.5276086183737,343,1
61.7824727125966,344,1
61.5276086183737,345,1
62.2922009010423,346,1
62.2922009010423,347,1
61.7824727125966,348,1
62.2922009010423,349,1
62.801929089488,350,1
63.0567931837109,351,1
62.801929089488,352,1
63.0567931837109,353,1
63.0567931837109,354,1
64.0762495606023,355,1
64.0762495606023,356,1
64.585977749048,357,1
64.0762495606023,358,1
64.0762495606023,359,1
64.0762495606023,360,1
64.3311136548252,361,1
65.3505700317166,362,1
65.3505700317166,363,1
65.6054341259394,364,1
65.3505700317166,365,1
65.6054341259394,366,1
65.3505700317166,367,1
65.3505700317166,368,1
66.370026408608,369,1
65.8602982201623,370,1
66.6248905028309,371,1
66.6248905028309,372,1
66.8797545970537,373,1
66.1151623143851,374,1
66.8797545970537,375,1
67.1346186912766,376,1
66.8797545970537,377,1
66.8797545970537,378,1
67.3894827854994,379,1
67.1346186912766,380,1
68.154075068168,381,1
67.8992109739451,382,1
67.8992109739451,383,1
